Study Name	Cu-110
Sample Name	2024-05-01
Run Name	irradiation
Operator	Angus+Akarsh
Date	5/1/2024
Time	18:44
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	2
dt	50.000001E-12
time stamp (ms)	6:46:21 PM
	
Time	Amplitude
0.000000E+0	1.074026E-3
5.000000E-11	1.043193E-3
1.000000E-10	1.026064E-3
1.500000E-10	1.026064E-3
2.000000E-10	1.029490E-3
2.500000E-10	1.019212E-3
3.000000E-10	1.024351E-3
3.500000E-10	1.062036E-3
4.000000E-10	1.111711E-3
4.500000E-10	1.144257E-3
5.000000E-10	1.187081E-3
5.500000E-10	1.247034E-3
6.000000E-10	1.284719E-3
6.500000E-10	1.300136E-3
7.000000E-10	1.351524E-3
7.500000E-10	1.416616E-3
8.000000E-10	1.452588E-3
8.500000E-10	1.478282E-3
9.000000E-10	1.503977E-3
9.500000E-10	1.505690E-3
1.000000E-9	1.488560E-3
1.050000E-9	1.469718E-3
1.100000E-9	1.420042E-3
1.150000E-9	1.336108E-3
1.200000E-9	1.257312E-3
1.250000E-9	1.171664E-3
1.300000E-9	1.070600E-3
1.350000E-9	1.005508E-3
1.400000E-9	9.832399E-4
1.450000E-9	9.643975E-4
1.500000E-9	9.472680E-4
1.550000E-9	9.506939E-4
1.600000E-9	9.626845E-4
1.650000E-9	9.609716E-4
1.700000E-9	9.678234E-4
1.750000E-9	1.003795E-3
1.800000E-9	1.063749E-3
1.850000E-9	1.133980E-3
1.900000E-9	1.199072E-3
1.950000E-9	1.250460E-3
2.000000E-9	1.293284E-3
2.050000E-9	1.320691E-3
2.100000E-9	1.315552E-3
2.150000E-9	1.267590E-3
2.200000E-9	1.183655E-3
2.250000E-9	1.098008E-3
2.300000E-9	1.029490E-3
2.350000E-9	9.506939E-4
2.400000E-9	8.427780E-4
2.450000E-9	7.519917E-4
2.500000E-9	7.245845E-4
2.550000E-9	7.434269E-4
2.600000E-9	7.691212E-4
2.650000E-9	7.931025E-4
2.700000E-9	8.427780E-4
2.750000E-9	9.318514E-4
2.800000E-9	1.034628E-3
2.850000E-9	1.115137E-3
2.900000E-9	1.185368E-3
2.950000E-9	1.248747E-3
3.000000E-9	1.296710E-3
3.050000E-9	1.300136E-3
3.100000E-9	1.272728E-3
3.150000E-9	1.216201E-3
3.200000E-9	1.132267E-3
3.250000E-9	1.027777E-3
3.300000E-9	9.318514E-4
3.350000E-9	8.633334E-4
3.400000E-9	8.170838E-4
3.450000E-9	7.828248E-4
3.500000E-9	8.033802E-4
3.550000E-9	8.958795E-4
3.600000E-9	1.017499E-3
3.650000E-9	1.137405E-3
3.700000E-9	1.262451E-3
3.750000E-9	1.394348E-3
3.800000E-9	1.514254E-3
3.850000E-9	1.623883E-3
3.900000E-9	1.690688E-3
3.950000E-9	1.678698E-3
4.000000E-9	1.599902E-3
4.050000E-9	1.498838E-3
4.100000E-9	1.389209E-3
4.150000E-9	1.269303E-3
4.200000E-9	1.166526E-3
4.250000E-9	1.094582E-3
4.300000E-9	1.058610E-3
4.350000E-9	1.074026E-3
4.400000E-9	1.144257E-3
4.450000E-9	1.235044E-3
4.500000E-9	1.341246E-3
4.550000E-9	1.476570E-3
4.600000E-9	1.613606E-3
4.650000E-9	1.702679E-3
4.700000E-9	1.755780E-3
4.750000E-9	1.786614E-3
4.800000E-9	1.771197E-3
4.850000E-9	1.707818E-3
4.900000E-9	1.627309E-3
4.950000E-9	1.541662E-3
5.000000E-9	1.449162E-3
5.050000E-9	1.396061E-3
5.100000E-9	1.377218E-3
5.150000E-9	1.361802E-3
5.200000E-9	1.363515E-3
5.250000E-9	1.402913E-3
5.300000E-9	1.444023E-3
5.350000E-9	1.481708E-3
5.400000E-9	1.509116E-3
5.450000E-9	1.509116E-3
5.500000E-9	1.474857E-3
5.550000E-9	1.425181E-3
5.600000E-9	1.370367E-3
5.650000E-9	1.300136E-3
5.700000E-9	1.209349E-3
5.750000E-9	1.106572E-3
5.800000E-9	1.002082E-3
5.850000E-9	9.164349E-4
5.900000E-9	8.581946E-4
5.950000E-9	8.290744E-4
6.000000E-9	8.290744E-4
6.050000E-9	8.650464E-4
6.100000E-9	9.267126E-4
6.150000E-9	1.007221E-3
6.200000E-9	1.096295E-3
6.250000E-9	1.168239E-3
6.300000E-9	1.221340E-3
6.350000E-9	1.259025E-3
6.400000E-9	1.269303E-3
6.450000E-9	1.259025E-3
6.500000E-9	1.260738E-3
6.550000E-9	1.267590E-3
6.600000E-9	1.250460E-3
6.650000E-9	1.229905E-3
6.700000E-9	1.228192E-3
6.750000E-9	1.233331E-3
6.800000E-9	1.245321E-3
6.850000E-9	1.274441E-3
6.900000E-9	1.313839E-3
6.950000E-9	1.354950E-3
7.000000E-9	1.392635E-3
7.050000E-9	1.396061E-3
7.100000E-9	1.370367E-3
7.150000E-9	1.354950E-3
7.200000E-9	1.353237E-3
7.250000E-9	1.332682E-3
7.300000E-9	1.310413E-3
7.350000E-9	1.300136E-3
7.400000E-9	1.276154E-3
7.450000E-9	1.226479E-3
7.500000E-9	1.187081E-3
7.550000E-9	1.164813E-3
7.600000E-9	1.157961E-3
7.650000E-9	1.193933E-3
7.700000E-9	1.284719E-3
7.750000E-9	1.382357E-3
7.800000E-9	1.452588E-3
7.850000E-9	1.536523E-3
7.900000E-9	1.661568E-3
7.950000E-9	1.760919E-3
8.000000E-9	1.812308E-3
8.050000E-9	1.899668E-3
8.100000E-9	2.016149E-3
8.150000E-9	2.040130E-3
8.200000E-9	1.978464E-3
8.250000E-9	1.981890E-3
8.300000E-9	2.019575E-3
8.350000E-9	1.942492E-3
8.400000E-9	1.810595E-3
8.450000E-9	1.719808E-3
8.500000E-9	1.618744E-3
8.550000E-9	1.539949E-3
8.600000E-9	1.567356E-3
8.650000E-9	1.567356E-3
8.700000E-9	1.469718E-3
8.750000E-9	1.485134E-3
8.800000E-9	1.618744E-3
8.850000E-9	1.606754E-3
8.900000E-9	1.502264E-3
8.950000E-9	1.526245E-3
9.000000E-9	1.567356E-3
9.050000E-9	1.536523E-3
9.100000E-9	1.596476E-3
9.150000E-9	1.666707E-3
9.200000E-9	1.514254E-3
