run_name,start_idx,start_time,grating_spacing[µm],A[Wm^-2],B[Wm^-2],C[Wm^-2],alpha[m^2s^-1],beta[s^0.5],theta[rad],tau[s],f[Hz],A_err[Wm^-2],B_err[Wm^-2],C_err[Wm^-2],alpha_err[m^2s^-1],beta_err[s^0.5],theta_err[rad],tau_err[s],f_err[Hz]
Cu-110-2024-05-01-03.40um-irradiation-POS-7.txt,51,2.5500000000000005e-09,3.5276,0.000162901158237429,-0.030213541264466,0.0012596585077553873,0.00015920608839602485,0.051543045547991266,-13.212165252101265,3.359878211651001e-09,607262192.4446973,3.593183821651928,0.0030784508009472386,4.317655793764028e-05,4.315113485662608e-05,1132.02116402557,0.09660393378859629,1.5720335479991332e-10,2142557.145957875
Cu-110-2024-05-01-03.40um-irradiation-POS-8.txt,51,2.5500000000000005e-09,3.5276,0.00011319374832952457,-0.0014098666330009915,0.0004976108506394513,4.737299450975595e-05,0.007564404954545305,-1.827104308720595,1.0471822709019128e-08,328663619.72348076,0.1437116952494848,0.0008197734503774454,0.0004036384273297765,4.767068122695709e-05,9.571725907500962,0.6091775474834606,5.858414328066032e-09,8736421.509084912
Cu-110-2024-05-01-03.40um-irradiation-POS-9.txt,51,2.5750000000000007e-09,3.5276,7.95544631363932e-05,-0.023870135755932914,0.0013412837023984272,0.00013475092159423424,0.06553812030670692,-13.216289926300933,3.688623473822911e-09,605236267.8818872,1.8382890347340455,0.002717734990830648,5.339843473288647e-05,4.081299098163101e-05,1506.8604502009885,0.10570405057717286,2.0558587929318366e-10,2291060.0428275275
Cu-110-2024-05-01-03.40um-irradiation-POS-10.txt,52,2.6249999999999987e-09,3.5276,1.3197285511367548e-05,0.0259610251817735,0.0009970225605640405,7.818391827677014e-05,0.13992954926876008,-10.62519198539113,3.425864844292401e-09,610573660.7497085,0.21761394801320277,0.0028882228577322383,7.672761432658416e-05,2.1072604780860023e-05,2296.894085528508,0.099881433557906,1.7578623227315416e-10,2214752.9840284185
Cu-110-2024-05-01-03.40um-irradiation-POS-11.txt,51,2.5500000000000005e-09,3.5276,1.8277802896670686e-05,-0.026804780663012968,0.0010443612131401379,9.190997970486246e-05,0.1370297443317889,-13.281347826328057,3.5992294201159936e-09,609733022.6065036,0.38800421469400637,0.002762325851051303,7.215785232673162e-05,2.482178224002373e-05,2895.158002992072,0.0933481567439968,1.7982473684514697e-10,2068339.303813806
Cu-110-2024-05-01-03.40um-irradiation-POS-12.txt,52,2.6e-09,3.5276,1.3212448826376101e-05,-0.02774783427953979,0.0012832528331815742,8.110624456744974e-05,0.1330878744356382,-13.031967006903777,3.4879319661976652e-09,601754277.3409556,0.2531348138902556,0.00286575928666507,7.703083087754294e-05,2.5064307393993963e-05,2537.3548665691083,0.09354684853691314,1.689641069685447e-10,2063253.893307346
Cu-110-2024-05-01-03.40um-irradiation-POS-13.txt,51,2.5750000000000007e-09,3.5276,1.9953166491222556e-05,0.03321613960172935,0.0008434653559856995,9.230010741401702e-05,0.1319892711756871,-10.553864276892293,3.2366268223107536e-09,615073009.6817148,0.3730144731121318,0.0034539853186715177,6.669759176458491e-05,2.2445983862024897e-05,2456.354819338884,0.09513488861049088,1.5102695788142824e-10,2161300.407879933
Cu-110-2024-05-01-03.40um-irradiation-POS-14.txt,51,2.5750000000000007e-09,3.5276,9.781101512051284e-06,0.023250689165229668,0.0012147607726674741,7.515238041971832e-05,0.17202213290791693,-22.971118373630553,3.848992951208075e-09,612887951.1743873,0.19204364836185508,0.002150631502885806,8.575032637231425e-05,2.1638437164058858e-05,3361.7005704110707,0.08408794006619699,1.8082430748432178e-10,1824475.316504744
Cu-110-2024-05-01-03.40um-irradiation-POS-15.txt,51,2.5750000000000007e-09,3.5276,2.0489026323504543e-05,-0.0052344045117135645,0.0005899946581800534,3.369517494243239e-05,0.03648673796267065,0.5369601642668651,3.840220927867553e-09,271007499.5116108,0.11014946094443075,0.00613444614344514,0.0009081383105586905,5.4545249268770955e-05,195.01007495280336,1.1243822059855735,2.150653524946525e-09,22882709.423955217
Cu-110-2024-05-01-03.40um-irradiation-POS-16.txt,52,2.649999999999999e-09,3.5276,2.304721521830752e-05,-0.0274484546564427,0.0009717379813127126,9.350445862484689e-05,0.11405882196479529,-19.964687276172647,3.5775741476798748e-09,608535590.8266646,0.4568251662658845,0.0030189251746154176,7.14884583830166e-05,2.6564446907016136e-05,2250.4244498164708,0.09886381371234562,1.8607835777919252e-10,2152580.7406674535
Cu-110-2024-05-01-03.40um-irradiation-POS-17.txt,52,2.6e-09,3.5276,1.2058155322669423e-05,-0.01873702360980057,0.0015751153117000217,6.910602208056066e-05,0.12903610095020993,-13.225997509334341,4.2050714407968504e-09,608407930.328485,0.14177585825623315,0.0015774089324349055,8.692413205507126e-05,1.8324197005510256e-05,1510.6877368948278,0.07806833851764457,1.899217149464169e-10,1624772.5787549946
Cu-110-2024-05-01-03.40um-irradiation-POS-18.txt,51,2.5750000000000007e-09,3.5276,1.3514874831379101e-05,-0.02852566196701261,0.0013977804458490185,8.019089285883043e-05,0.14756424600870935,-13.711677054606945,3.4891089757245815e-09,616488788.8369633,0.26501138555507353,0.003148074853834579,8.893374948993697e-05,2.377420955114523e-05,2879.909167003024,0.10036574229186804,1.8257708797086887e-10,2239876.3484960035
Cu-110-2024-05-01-03.40um-irradiation-POS-19.txt,52,2.600000000000001e-09,3.5276,1.0401552306702364e-05,-0.02589375990766482,0.0012157359959709241,6.796847890463139e-05,0.15532143788198458,-13.42272366491503,3.669603029422961e-09,609070907.2840799,0.16586919361788807,0.002725518892601158,0.0001081322814961253,2.087843371861621e-05,2465.452470196276,0.09516463843018537,1.881478805319645e-10,2075771.9092061885
Cu-110-2024-05-01-03.40um-irradiation-POS-20.txt,51,2.5750000000000007e-09,3.5276,1.1707366758583278e-05,0.023863680478522473,0.0014192195386431845,7.943660744760674e-05,0.17395102426509088,-16.784137396389802,4.000740272648288e-09,615023928.7472434,0.2409626297859666,0.0020793987551349816,8.491210314133793e-05,2.140898452631829e-05,3563.6433096317905,0.07969664731361566,1.8185283776722579e-10,1705759.2979217605
