fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.650000 18.642780 18.237127
3.700000 18.473654 17.837998
3.750000 18.295325 17.447458
3.800000 18.102525 17.065315
3.850000 17.890599 16.691378
3.900000 17.655612 16.325464
3.950000 17.394436 15.967392
4.000000 17.104814 15.616987
4.050000 16.785404 15.274077
4.100000 16.435798 14.938495
4.150000 16.056523 14.610077
4.200000 15.649009 14.288664
4.250000 15.215549 13.974101
4.300000 14.759225 13.666233
4.350000 14.283823 13.364914
4.400000 13.793730 13.069999
4.450000 13.293813 12.781344
4.500000 12.789298 12.498813
4.550000 12.285627 12.222270
4.600000 11.788321 11.951583
4.650000 11.302841 11.686623
4.700000 10.834450 11.427264
4.750000 10.388080 11.173384
4.800000 9.968212 10.924862
4.850000 9.578764 10.681580
4.900000 9.223002 10.443424
4.950000 8.903454 10.210283
5.000000 8.621860 9.982046
5.050000 8.379129 9.758607
5.100000 8.175321 9.539861
5.150000 8.009652 9.325706
5.200000 7.880521 9.116043
5.250000 7.785548 8.910774
5.300000 7.721644 8.709803
5.350000 7.685088 8.513037
5.400000 7.671623 8.320386
5.450000 7.676562 8.131761
5.500000 7.694910 7.947074
5.550000 7.721483 7.766242
5.600000 7.751038 7.589179
5.650000 7.778401 7.415806
5.700000 7.798590 7.246044
5.750000 7.806937 7.079814
5.800000 7.799198 6.917041
5.850000 7.771648 6.757650
5.900000 7.721174 6.601569
5.950000 7.645336 6.448728
6.000000 7.542426 6.299057
6.050000 7.411497 6.152489
6.100000 7.252382 6.008956
6.150000 7.065685 5.868395
6.200000 6.852761 5.730741
6.250000 6.615673 5.595934
6.300000 6.357130 5.463913
6.350000 6.080419 5.334618
6.400000 5.789311 5.207991
6.450000 5.487967 5.083977
6.500000 5.180825 4.962518
6.550000 4.872492 4.843563
6.600000 4.567623 4.727056
6.650000 4.270807 4.612947
6.700000 3.986452 4.501186
6.750000 3.718677 4.391721
6.800000 3.471211 4.284506
6.850000 3.247304 4.179492
6.900000 3.049649 4.076633
6.950000 2.880322 3.975884
7.000000 2.740732 3.877200
7.050000 2.631591 3.780538
7.100000 2.552908 3.685856
