fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 18.225712 17.573588
3.650000 17.996292 17.183428
3.700000 17.752688 16.801773
3.750000 17.491305 16.428430
3.800000 17.209264 16.063209
3.850000 16.904468 15.705925
3.900000 16.575644 15.356398
3.950000 16.222363 15.014451
4.000000 15.845038 14.679913
4.050000 15.444905 14.352616
4.100000 15.023975 14.032397
4.150000 14.584972 13.719095
4.200000 14.131249 13.412556
4.250000 13.666694 13.112626
4.300000 13.195616 12.819157
4.350000 12.722629 12.532005
4.400000 12.252520 12.251028
4.450000 11.790120 11.976088
4.500000 11.340178 11.707049
4.550000 10.907227 11.443780
4.600000 10.495471 11.186152
4.650000 10.108668 10.934041
4.700000 9.750040 10.687322
4.750000 9.422183 10.445877
4.800000 9.127007 10.209588
4.850000 8.865687 9.978341
4.900000 8.638636 9.752025
4.950000 8.445498 9.530531
5.000000 8.285164 9.313752
5.050000 8.155799 9.101583
5.100000 8.054902 8.893925
5.150000 7.979366 8.690677
5.200000 7.925569 8.491742
5.250000 7.889466 8.297026
5.300000 7.866701 8.106436
5.350000 7.852715 7.919882
5.400000 7.842868 7.737276
5.450000 7.832560 7.558530
5.500000 7.817346 7.383562
5.550000 7.793047 7.212288
5.600000 7.755861 7.044628
5.650000 7.702448 6.880503
5.700000 7.630020 6.719837
5.750000 7.536399 6.562554
5.800000 7.420072 6.408580
5.850000 7.280218 6.257845
5.900000 7.116726 6.110277
5.950000 6.930185 5.965809
6.000000 6.721865 5.824372
6.050000 6.493672 5.685903
6.100000 6.248092 5.550336
6.150000 5.988121 5.417608
6.200000 5.717177 5.287660
6.250000 5.439008 5.160431
6.300000 5.157588 5.035861
6.350000 4.877012 4.913896
6.400000 4.601383 4.794477
6.450000 4.334706 4.677551
6.500000 4.080779 4.563065
6.550000 3.843101 4.450965
6.600000 3.624775 4.341201
6.650000 3.428433 4.233723
6.700000 3.256169 4.128482
6.750000 3.109489 4.025430
6.800000 2.989274 3.924521
6.850000 2.895762 3.825708
6.900000 2.828548 3.728948
6.950000 2.786596 3.634196
7.000000 2.768273 3.541409
7.050000 2.771397 3.450547
7.100000 2.793295 3.361568
7.150000 2.830876 3.274431
7.200000 2.880720 3.189099
7.250000 2.939161 3.105532
7.300000 3.002391 3.023694
7.350000 3.066556 2.943547
7.400000 3.127857 2.865056
7.450000 3.182647 2.788186
7.500000 3.227528 2.712903
7.550000 3.259430 2.639173
7.600000 3.275693 2.566963
7.650000 3.274129 2.496242
7.700000 3.253075 2.426977
7.750000 3.211430 2.359139
7.800000 3.148680 2.292697
7.850000 3.064903 2.227622
7.900000 2.960760 2.163885
7.950000 2.837476 2.101458
8.000000 2.696799 2.040314
8.050000 2.540948 1.980425
8.100000 2.372552 1.921766
8.150000 2.194577 1.864310
8.200000 2.010245 1.808033
8.250000 1.822943 1.752909
8.300000 1.636138 1.698915
8.350000 1.453281 1.646027
8.400000 1.277719 1.594221
8.450000 1.112606 1.543476
8.500000 0.960822 1.493769
8.550000 0.824901 1.445078
8.600000 0.706966 1.397383
8.650000 0.608677 1.350662
8.700000 0.531193 1.304895
8.750000 0.475142 1.260063
8.800000 0.440611 1.216146
8.850000 0.427152 1.173124
8.900000 0.433789 1.130980
8.950000 0.459056 1.089695
9.000000 0.501036 1.049251
9.050000 0.557415 1.009630
9.100000 0.625545 0.970817
9.150000 0.702516 0.932793
9.200000 0.785235 0.895544
9.250000 0.870507 0.859051
9.300000 0.955119 0.823301
9.350000 1.035925 0.788277
9.400000 1.109924 0.753965
9.450000 1.174340 0.720349
9.500000 1.226692 0.687416
9.550000 1.264852 0.655151
9.600000 1.287101 0.623541
9.650000 1.292170 0.592572
9.700000 1.279265 0.562231
9.750000 1.248085 0.532504
9.800000 1.198827 0.503380
9.850000 1.132174 0.474846
9.900000 1.049273 0.446889
9.950000 0.951699 0.419499
10.000000 0.841411 0.392662
10.050000 0.720699 0.366368
10.100000 0.592117 0.340606
10.150000 0.458417 0.315364
10.200000 0.322471 0.290633
10.250000 0.187201 0.266401
10.300000 0.055494 0.242658
10.350000 -0.069867 0.219395
10.400000 -0.186278 0.196601
10.450000 -0.291379 0.174267
10.500000 -0.383116 0.152383
10.550000 -0.459790 0.130941
10.600000 -0.520101 0.109931
10.650000 -0.563173 0.089344
10.700000 -0.588582 0.069172
10.750000 -0.596354 0.049406
10.800000 -0.586968 0.030038
10.850000 -0.561334 0.011059
10.900000 -0.520770 -0.007537
10.950000 -0.466959 -0.025759
11.000000 -0.401909 -0.043615
11.050000 -0.327891 -0.061112
11.100000 -0.247381 -0.078258
11.150000 -0.162992 -0.095059
11.200000 -0.077408 -0.111522
11.250000 0.006692 -0.127655
11.300000 0.086699 -0.143464
11.350000 0.160143 -0.158956
11.400000 0.224757 -0.174137
11.450000 0.278532 -0.189013
11.500000 0.319770 -0.203592
11.550000 0.347123 -0.217878
