fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.650000 23.067224 21.395038
3.700000 23.105673 20.956437
3.750000 23.092556 20.526696
3.800000 23.018622 20.105626
3.850000 22.876470 19.693043
3.900000 22.660689 19.288766
3.950000 22.367950 18.892620
4.000000 21.997048 18.504432
4.050000 21.548890 18.124035
4.100000 21.026431 17.751264
4.150000 20.434564 17.385958
4.200000 19.779964 17.027962
4.250000 19.070888 16.677121
4.300000 18.316949 16.333286
4.350000 17.528851 15.996309
4.400000 16.718108 15.666048
4.450000 15.896748 15.342363
4.500000 15.077009 15.025116
4.550000 14.271033 14.714173
4.600000 13.490571 14.409404
4.650000 12.746701 14.110681
4.700000 12.049571 13.817878
4.750000 11.408160 13.530872
4.800000 10.830083 13.249545
4.850000 10.321421 12.973778
4.900000 9.886604 12.703457
4.950000 9.528324 12.438471
5.000000 9.247500 12.178708
5.050000 9.043284 11.924063
5.100000 8.913105 11.674430
5.150000 8.852766 11.429706
5.200000 8.856566 11.189791
5.250000 8.917463 10.954587
5.300000 9.027267 10.723998
5.350000 9.176858 10.497929
5.400000 9.356414 10.276288
5.450000 9.555670 10.058986
5.500000 9.764162 9.845934
5.550000 9.971489 9.637047
5.600000 10.167559 9.432238
5.650000 10.342830 9.231427
5.700000 10.488525 9.034531
5.750000 10.596833 8.841473
5.800000 10.661079 8.652174
5.850000 10.675864 8.466558
5.900000 10.637175 8.284552
5.950000 10.542451 8.106083
6.000000 10.390623 7.931079
6.050000 10.182108 7.759472
6.100000 9.918778 7.591192
6.150000 9.603880 7.426174
6.200000 9.241937 7.264351
6.250000 8.838612 7.105661
6.300000 8.400551 6.950040
6.350000 7.935203 6.797426
6.400000 7.450620 6.647761
6.450000 6.955255 6.500985
6.500000 6.457747 6.357040
6.550000 5.966704 6.215871
6.600000 5.490497 6.077423
6.650000 5.037058 5.941640
6.700000 4.613691 5.808470
6.750000 4.226912 5.677862
6.800000 3.882293 5.549764
6.850000 3.584352 5.424128
6.900000 3.336454 5.300903
6.950000 3.140750 5.180043
7.000000 2.998145 5.061501
7.050000 2.908296 4.945231
7.100000 2.869641 4.831189
7.150000 2.879458 4.719330
7.200000 2.933948 4.609611
7.250000 3.028346 4.501991
7.300000 3.157055 4.396427
7.350000 3.313789 4.292881
7.400000 3.491742 4.191311
7.450000 3.683758 4.091680
7.500000 3.882514 3.993950
7.550000 4.080693 3.898082
7.600000 4.271166 3.804041
7.650000 4.447161 3.711791
7.700000 4.602414 3.621297
7.750000 4.731319 3.532525
7.800000 4.829047 3.445441
7.850000 4.891652 3.360012
7.900000 4.916147 3.276206
7.950000 4.900562 3.193991
8.000000 4.843973 3.113336
8.050000 4.746503 3.034212
8.100000 4.609303 2.956588
8.150000 4.434505 2.880435
8.200000 4.225153 2.805724
8.250000 3.985109 2.732428
8.300000 3.718950 2.660519
8.350000 3.431838 2.589971
