fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.550000 13.213828 12.448170
3.600000 13.229403 12.139127
3.650000 13.217410 11.837330
3.700000 13.170814 11.542603
3.750000 13.083805 11.254772
3.800000 12.951924 10.973671
3.850000 12.772141 10.699136
3.900000 12.542908 10.431008
3.950000 12.264161 10.169130
4.000000 11.937293 9.913353
4.050000 11.565080 9.663528
4.100000 11.151581 9.419512
4.150000 10.702000 9.181164
4.200000 10.222528 8.948349
4.250000 9.720156 8.720933
4.300000 9.202474 8.498787
4.350000 8.677459 8.281784
4.400000 8.153255 8.069801
4.450000 7.637957 7.862718
4.500000 7.139392 7.660418
4.550000 6.664926 7.462786
4.600000 6.221272 7.269711
4.650000 5.814327 7.081085
4.700000 5.449031 6.896802
4.750000 5.129258 6.716758
4.800000 4.857727 6.540854
4.850000 4.635959 6.368990
4.900000 4.464252 6.201071
4.950000 4.341699 6.037003
5.000000 4.266231 5.876697
5.050000 4.234694 5.720062
5.100000 4.242946 5.567012
5.150000 4.285987 5.417463
5.200000 4.358098 5.271332
5.250000 4.453010 5.128539
5.300000 4.564069 4.989006
5.350000 4.684417 4.852655
5.400000 4.807175 4.719412
5.450000 4.925618 4.589205
5.500000 5.033344 4.461962
5.550000 5.124436 4.337614
5.600000 5.193604 4.216093
5.650000 5.236304 4.097333
5.700000 5.248848 3.981271
5.750000 5.228472 3.867842
5.800000 5.173396 3.756985
5.850000 5.082846 3.648642
5.900000 4.957050 3.542753
5.950000 4.797217 3.439261
6.000000 4.605478 3.338111
6.050000 4.384817 3.239248
6.100000 4.138969 3.142619
6.150000 3.872310 3.048173
6.200000 3.589731 2.955859
6.250000 3.296493 2.865628
6.300000 2.998087 2.777432
6.350000 2.700083 2.691223
6.400000 2.407980 2.606956
6.450000 2.127069 2.524586
6.500000 1.862291 2.444070
6.550000 1.618119 2.365364
6.600000 1.398450 2.288427
6.650000 1.206508 2.213219
6.700000 1.044781 2.139700
6.750000 0.914961 2.067830
6.800000 0.817921 1.997573
6.850000 0.753704 1.928891
6.900000 0.721541 1.861748
6.950000 0.719881 1.796109
7.000000 0.746450 1.731939
7.050000 0.798321 1.669205
7.100000 0.872007 1.607874
7.150000 0.963553 1.547914
7.200000 1.068659 1.489294
7.250000 1.182788 1.431984
7.300000 1.301292 1.375952
7.350000 1.419538 1.321171
7.400000 1.533020 1.267612
7.450000 1.637479 1.215247
7.500000 1.729007 1.164048
7.550000 1.804140 1.113990
7.600000 1.859938 1.065047
7.650000 1.894053 1.017193
7.700000 1.904777 0.970403
7.750000 1.891072 0.924654
7.800000 1.852583 0.879921
7.850000 1.789637 0.836182
7.900000 1.703213 0.793415
7.950000 1.594911 0.751597
8.000000 1.466892 0.710706
8.050000 1.321813 0.670723
8.100000 1.162746 0.631626
8.150000 0.993088 0.593396
8.200000 0.816470 0.556013
8.250000 0.636652 0.519457
8.300000 0.457426 0.483711
8.350000 0.282515 0.448755
8.400000 0.115476 0.414573
8.450000 -0.040390 0.381147
8.500000 -0.182118 0.348459
8.550000 -0.307149 0.316493
8.600000 -0.413393 0.285234
8.650000 -0.499270 0.254665
8.700000 -0.563746 0.224770
8.750000 -0.606345 0.195535
8.800000 -0.627153 0.166944
8.850000 -0.626806 0.138984
8.900000 -0.606462 0.111640
8.950000 -0.567759 0.084899
9.000000 -0.512767 0.058746
9.050000 -0.443922 0.033169
9.100000 -0.363960 0.008155
9.150000 -0.275834 -0.016309
9.200000 -0.182640 -0.040235
9.250000 -0.087529 -0.063634
9.300000 0.006373 -0.086520
9.350000 0.096048 -0.108903
9.400000 0.178661 -0.130794
9.450000 0.251627 -0.152204
9.500000 0.312680 -0.173145
9.550000 0.359920 -0.193626
9.600000 0.391853 -0.213658
9.650000 0.407430 -0.233251
9.700000 0.406057 -0.252414
