fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 19.655158 18.617320
3.650000 19.331185 18.213937
3.700000 18.987220 17.819108
3.750000 18.622038 17.432643
3.800000 18.235169 17.054357
3.850000 17.826894 16.684068
3.900000 17.398227 16.321599
3.950000 16.950883 15.966776
4.000000 16.487220 15.619430
4.050000 16.010175 15.279397
4.100000 15.523179 14.946516
4.150000 15.030063 14.620629
4.200000 14.534957 14.301582
4.250000 14.042180 13.989226
4.300000 13.556123 13.683413
4.350000 13.081143 13.384002
4.400000 12.621442 13.090852
4.450000 12.180966 12.803826
4.500000 11.763304 12.522791
4.550000 11.371596 12.247617
4.600000 11.008456 11.978176
4.650000 10.675910 11.714344
4.700000 10.375342 11.456000
4.750000 10.107469 11.203025
4.800000 9.872319 10.955302
4.850000 9.669237 10.712719
4.900000 9.496901 10.475164
4.950000 9.353363 10.242530
5.000000 9.236094 10.014709
5.050000 9.142053 9.791600
5.100000 9.067762 9.573101
5.150000 9.009399 9.359113
5.200000 8.962886 9.149540
5.250000 8.923998 8.944286
5.300000 8.888461 8.743261
5.350000 8.852063 8.546373
5.400000 8.810750 8.353535
5.450000 8.760729 8.164660
5.500000 8.698555 7.979664
5.550000 8.621212 7.798464
5.600000 8.526185 7.620981
5.650000 8.411515 7.447134
5.700000 8.275841 7.276848
5.750000 8.118428 7.110047
5.800000 7.939178 6.946657
5.850000 7.738624 6.786606
5.900000 7.517911 6.629823
5.950000 7.278762 6.476241
6.000000 7.023424 6.325791
6.050000 6.754610 6.178407
6.100000 6.475425 6.034026
6.150000 6.189280 5.892583
6.200000 5.899810 5.754018
6.250000 5.610771 5.618270
6.300000 5.325951 5.485280
6.350000 5.049070 5.354991
6.400000 4.783688 5.227345
6.450000 4.533112 5.102288
6.500000 4.300322 4.979766
6.550000 4.087890 4.859725
6.600000 3.897922 4.742115
6.650000 3.732006 4.626884
6.700000 3.591180 4.513984
6.750000 3.475901 4.403365
6.800000 3.386046 4.294980
6.850000 3.320913 4.188783
6.900000 3.279245 4.084728
6.950000 3.259263 3.982772
7.000000 3.258713 3.882871
7.050000 3.274931 3.784981
7.100000 3.304902 3.689063
7.150000 3.345347 3.595074
7.200000 3.392798 3.502975
7.250000 3.443691 3.412727
7.300000 3.494451 3.324293
7.350000 3.541583 3.237634
7.400000 3.581755 3.152714
7.450000 3.611882 3.069497
7.500000 3.629196 2.987948
7.550000 3.631317 2.908034
7.600000 3.616302 2.829720
7.650000 3.582695 2.752974
7.700000 3.529555 2.677764
7.750000 3.456473 2.604057
7.800000 3.363581 2.531824
7.850000 3.251543 2.461035
7.900000 3.121529 2.391658
7.950000 2.975185 2.323667
8.000000 2.814586 2.257032
8.050000 2.642180 2.191726
8.100000 2.460721 2.127722
8.150000 2.273201 2.064994
8.200000 2.082770 2.003514
8.250000 1.892656 1.943258
8.300000 1.706084 1.884202
8.350000 1.526191 1.826320
8.400000 1.355955 1.769588
8.450000 1.198114 1.713984
8.500000 1.055104 1.659485
8.550000 0.928997 1.606068
8.600000 0.821456 1.553711
8.650000 0.733690 1.502392
8.700000 0.666432 1.452092
8.750000 0.619923 1.402788
8.800000 0.593909 1.354461
8.850000 0.587652 1.307092
8.900000 0.599949 1.260660
8.950000 0.629169 1.215147
9.000000 0.673296 1.170535
9.050000 0.729979 1.126805
9.100000 0.796598 1.083939
9.150000 0.870326 1.041921
9.200000 0.948206 1.000732
9.250000 1.027221 0.960357
9.300000 1.104371 0.920778
9.350000 1.176750 0.881981
9.400000 1.241613 0.843948
9.450000 1.296444 0.806666
9.500000 1.339019 0.770118
9.550000 1.367456 0.734290
9.600000 1.380260 0.699168
9.650000 1.376356 0.664737
9.700000 1.355113 0.630984
9.750000 1.316355 0.597895
9.800000 1.260361 0.565456
9.850000 1.187855 0.533656
9.900000 1.099982 0.502480
9.950000 0.998278 0.471917
10.000000 0.884627 0.441954
10.050000 0.761210 0.412579
10.100000 0.630448 0.383781
10.150000 0.494942 0.355547
10.200000 0.357401 0.327868
10.250000 0.220578 0.300731
10.300000 0.087199 0.274126
10.350000 -0.040105 0.248042
10.400000 -0.158865 0.222470
10.450000 -0.266831 0.197398
10.500000 -0.362029 0.172816
10.550000 -0.442810 0.148716
10.600000 -0.507882 0.125087
10.650000 -0.556349 0.101921
10.700000 -0.587721 0.079207
10.750000 -0.601930 0.056937
10.800000 -0.599324 0.035102
10.850000 -0.580659 0.013694
10.900000 -0.547073 -0.007296
10.950000 -0.500057 -0.027877
11.000000 -0.441415 -0.048056
11.050000 -0.373215 -0.067841
11.100000 -0.297738 -0.087240
11.150000 -0.217417 -0.106261
11.200000 -0.134776 -0.124912
11.250000 -0.052366 -0.143198
11.300000 0.027295 -0.161129
11.350000 0.101791 -0.178711
11.400000 0.168863 -0.195950
11.450000 0.226464 -0.212853
11.500000 0.272809 -0.229428
11.550000 0.306416 -0.245680
11.600000 0.326145 -0.261616
11.650000 0.331215 -0.277243
11.700000 0.321230 -0.292565
11.750000 0.296176 -0.307590
11.800000 0.256427 -0.322323
11.850000 0.202726 -0.336770
11.900000 0.136165 -0.350936
11.950000 0.058155 -0.364828
12.000000 -0.029611 -0.378449
12.050000 -0.125203 -0.391807
12.100000 -0.226508 -0.404905
12.150000 -0.331279 -0.417749
12.200000 -0.437196 -0.430345
12.250000 -0.541922 -0.442696
12.300000 -0.643165 -0.454808
12.350000 -0.738731 -0.466685
12.400000 -0.826580 -0.478332
12.450000 -0.904878 -0.489754
12.500000 -0.972038 -0.500955
12.550000 -1.026756 -0.511939
12.600000 -1.068049 -0.522710
12.650000 -1.095267 -0.533273
12.700000 -1.108114 -0.543632
12.750000 -1.106650 -0.553790
12.800000 -1.091286 -0.563752
12.850000 -1.062772 -0.573522
12.900000 -1.022175 -0.583103
12.950000 -0.970850 -0.592499
13.000000 -0.910404 -0.601713
13.050000 -0.842653 -0.610749
13.100000 -0.769578 -0.619611
13.150000 -0.693268 -0.628302
13.200000 -0.615876 -0.636826
13.250000 -0.539557 -0.645185
13.300000 -0.466416 -0.653382
13.350000 -0.398460 -0.661422
13.400000 -0.337544 -0.669307
13.450000 -0.285330 -0.677039
13.500000 -0.243242 -0.684623
13.550000 -0.212438 -0.692061
13.600000 -0.193781 -0.699355
13.650000 -0.187818 -0.706509
13.700000 -0.194775 -0.713525
13.750000 -0.214545 -0.720406
13.800000 -0.246703 -0.727155
13.850000 -0.290513 -0.733774
13.900000 -0.344950 -0.740266
13.950000 -0.408733 -0.746632
14.000000 -0.480350 -0.752877
14.050000 -0.558106 -0.759001
14.100000 -0.640165 -0.765008
14.150000 -0.724592 -0.770899
14.200000 -0.809409 -0.776677
14.250000 -0.892642 -0.782344
14.300000 -0.972368 -0.787902
14.350000 -1.046766 -0.793354
14.400000 -1.114162 -0.798701
14.450000 -1.173065 -0.803945
14.500000 -1.222208 -0.809088
14.550000 -1.260574 -0.814133
14.600000 -1.287423 -0.819081
14.650000 -1.302305 -0.823935
14.700000 -1.305069 -0.828695
14.750000 -1.295868 -0.833364
14.800000 -1.275148 -0.837943
14.850000 -1.243637 -0.842435
14.900000 -1.202325 -0.846841
14.950000 -1.152435 -0.851162
15.000000 -1.095392 -0.855401
15.050000 -1.032787 -0.859558
15.100000 -0.966333 -0.863636
15.150000 -0.897824 -0.867635
15.200000 -0.829086 -0.871559
15.250000 -0.761938 -0.875407
15.300000 -0.698138 -0.879181
15.350000 -0.639347 -0.882883
15.400000 -0.587083 -0.886515
15.450000 -0.542689 -0.890077
15.500000 -0.507296 -0.893571
15.550000 -0.481801 -0.896998
15.600000 -0.466845 -0.900360
15.650000 -0.462798 -0.903657
15.700000 -0.469754 -0.906892
15.750000 -0.487528 -0.910064
15.800000 -0.515668 -0.913177
15.850000 -0.553463 -0.916229
15.900000 -0.599966 -0.919224
15.950000 -0.654019 -0.922161
16.000000 -0.714285 -0.925042
16.050000 -0.779279 -0.927868
16.100000 -0.847412 -0.930641
16.150000 -0.917027 -0.933360
16.200000 -0.986442 -0.936027
16.250000 -1.053993 -0.938644
16.300000 -1.118075 -0.941211
16.350000 -1.177182 -0.943729
16.400000 -1.229944 -0.946199
16.450000 -1.275158 -0.948622
16.500000 -1.311820 -0.950998
16.550000 -1.339145 -0.953330
16.600000 -1.356587 -0.955617
16.650000 -1.363851 -0.957860
16.700000 -1.360897 -0.960061
16.750000 -1.347938 -0.962219
16.800000 -1.325435 -0.964337
16.850000 -1.294084 -0.966415
16.900000 -1.254791 -0.968452
16.950000 -1.208656 -0.970452
17.000000 -1.156936 -0.972413
17.050000 -1.101020 -0.974336
17.100000 -1.042385 -0.976224
17.150000 -0.982566 -0.978075
17.200000 -0.923112 -0.979891
17.250000 -0.865550 -0.981673
17.300000 -0.811345 -0.983420
17.350000 -0.761868 -0.985135
17.400000 -0.718356 -0.986817
17.450000 -0.681889 -0.988467
17.500000 -0.653360 -0.990085
17.550000 -0.633456 -0.991673
17.600000 -0.622642 -0.993231
17.650000 -0.621152 -0.994759
17.700000 -0.628983 -0.996258
17.750000 -0.645901 -0.997729
17.800000 -0.671445 -0.999172
17.850000 -0.704942 -1.000587
17.900000 -0.745525 -1.001976
17.950000 -0.792157 -1.003338
18.000000 -0.843659 -1.004675
18.050000 -0.898738 -1.005986
18.100000 -0.956022 -1.007272
18.150000 -1.014096 -1.008534
18.200000 -1.071535 -1.009771
18.250000 -1.126942 -1.010986
18.300000 -1.178981 -1.012177
18.350000 -1.226411 -1.013346
18.400000 -1.268117 -1.014493
18.450000 -1.303133 -1.015618
18.500000 -1.330669 -1.016721
18.550000 -1.350128 -1.017804
18.600000 -1.361119 -1.018866
18.650000 -1.363464 -1.019908
18.700000 -1.357203 -1.020931
18.750000 -1.342589 -1.021934
18.800000 -1.320082 -1.022918
