fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 30.285827 28.961216
3.650000 29.831717 28.396530
3.700000 29.353385 27.842798
3.750000 28.849126 27.299795
3.800000 28.318130 26.767301
3.850000 27.760480 26.245101
3.900000 27.177146 25.732984
3.950000 26.569939 25.230744
4.000000 25.941464 24.738180
4.050000 25.295039 24.255095
4.100000 24.634610 23.781296
4.150000 23.964642 23.316595
4.200000 23.290010 22.860808
4.250000 22.615866 22.413754
4.300000 21.947517 21.975258
4.350000 21.290290 21.545147
4.400000 20.649400 21.123252
4.450000 20.029823 20.709408
4.500000 19.436179 20.303454
4.550000 18.872615 19.905231
4.600000 18.342713 19.514586
4.650000 17.849402 19.131366
4.700000 17.394894 18.755424
4.750000 16.980628 18.386614
4.800000 16.607247 18.024796
4.850000 16.274581 17.669829
4.900000 15.981657 17.321579
4.950000 15.726727 16.979911
5.000000 15.507311 16.644697
5.050000 15.320261 16.315809
5.100000 15.161839 15.993121
5.150000 15.027810 15.676511
5.200000 14.913539 15.365861
5.250000 14.814108 15.061053
5.300000 14.724431 14.761972
5.350000 14.639372 14.468506
5.400000 14.553866 14.180545
5.450000 14.463038 13.897982
5.500000 14.362315 13.620711
5.550000 14.247524 13.348628
5.600000 14.114993 13.081634
5.650000 13.961628 12.819628
5.700000 13.784976 12.562513
5.750000 13.583282 12.310196
5.800000 13.355516 12.062582
5.850000 13.101393 11.819581
5.900000 12.821367 11.581103
5.950000 12.516615 11.347061
6.000000 12.189000 11.117369
6.050000 11.841015 10.891944
6.100000 11.475718 10.670703
6.150000 11.096655 10.453565
6.200000 10.707765 10.240451
6.250000 10.313280 10.031285
6.300000 9.917624 9.825991
6.350000 9.525303 9.624494
6.400000 9.140792 9.426721
6.450000 8.768431 9.232602
6.500000 8.412316 9.042066
6.550000 8.076210 8.855044
6.600000 7.763446 8.671471
6.650000 7.476855 8.491280
6.700000 7.218701 8.314407
6.750000 6.990630 8.140788
6.800000 6.793634 7.970362
6.850000 6.628034 7.803069
6.900000 6.493475 7.638847
6.950000 6.388938 7.477640
7.000000 6.312775 7.319391
7.050000 6.262743 7.164042
7.100000 6.236071 7.011540
7.150000 6.229523 6.861831
7.200000 6.239480 6.714862
7.250000 6.262029 6.570580
7.300000 6.293057 6.428936
7.350000 6.328349 6.289880
7.400000 6.363689 6.153364
7.450000 6.394960 6.019338
7.500000 6.418237 5.887757
7.550000 6.429880 5.758575
7.600000 6.426619 5.631746
7.650000 6.405621 5.507227
7.700000 6.364559 5.384974
7.750000 6.301660 5.264945
7.800000 6.215737 5.147098
7.850000 6.106218 5.031393
7.900000 5.973148 4.917789
7.950000 5.817183 4.806247
8.000000 5.639567 4.696729
8.050000 5.442099 4.589197
8.100000 5.227081 4.483615
8.150000 4.997258 4.379945
8.200000 4.755751 4.278152
8.250000 4.505974 4.178201
8.300000 4.251553 4.080059
8.350000 3.996233 3.983691
8.400000 3.743792 3.889064
8.450000 3.497945 3.796148
8.500000 3.262259 3.704908
8.550000 3.040066 3.615316
8.600000 2.834385 3.527339
8.650000 2.647857 3.440949
8.700000 2.482678 3.356115
8.750000 2.340553 3.272810
8.800000 2.222660 3.191005
8.850000 2.129628 3.110672
8.900000 2.061518 3.031785
8.950000 2.017836 2.954316
9.000000 1.997544 2.878239
9.050000 1.999088 2.803530
9.100000 2.020443 2.730162
9.150000 2.059161 2.658111
9.200000 2.112436 2.587353
9.250000 2.177170 2.517864
9.300000 2.250050 2.449621
9.350000 2.327632 2.382601
9.400000 2.406418 2.316782
9.450000 2.482941 2.252141
9.500000 2.553850 2.188658
9.550000 2.615985 2.126310
9.600000 2.666448 2.065077
9.650000 2.702676 2.004939
9.700000 2.722492 1.945876
9.750000 2.724156 1.887868
9.800000 2.706400 1.830896
9.850000 2.668458 1.774941
9.900000 2.610072 1.719984
9.950000 2.531500 1.666008
10.000000 2.433501 1.612994
10.050000 2.317314 1.560925
10.100000 2.184619 1.509784
10.150000 2.037502 1.459553
10.200000 1.878389 1.410217
10.250000 1.709997 1.361759
