fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.550000 18.047063 18.047063
3.600000 17.633906 17.633906
3.650000 17.230111 17.230112
3.700000 16.835458 16.835458
3.750000 16.449729 16.449729
3.800000 16.072714 16.072715
3.850000 15.704208 15.704208
3.900000 15.344010 15.344010
3.950000 14.991925 14.991925
4.000000 14.647763 14.647763
4.050000 14.311337 14.311337
4.100000 13.982467 13.982467
4.150000 13.660976 13.660976
4.200000 13.346692 13.346692
4.250000 13.039447 13.039447
4.300000 12.739077 12.739077
4.350000 12.445422 12.445422
4.400000 12.158326 12.158326
4.450000 11.877638 11.877638
4.500000 11.603208 11.603208
4.550000 11.334893 11.334893
4.600000 11.072550 11.072550
4.650000 10.816042 10.816042
4.700000 10.565235 10.565235
4.750000 10.319997 10.319997
4.800000 10.080200 10.080200
4.850000 9.845720 9.845720
4.900000 9.616433 9.616433
4.950000 9.392223 9.392223
5.000000 9.172971 9.172971
5.050000 8.958565 8.958565
5.100000 8.748894 8.748894
5.150000 8.543851 8.543851
5.200000 8.343329 8.343329
5.250000 8.147225 8.147225
5.300000 7.955440 7.955440
5.350000 7.767876 7.767876
5.400000 7.584435 7.584435
5.450000 7.405025 7.405026
5.500000 7.229555 7.229555
5.550000 7.057936 7.057936
5.600000 6.890080 6.890080
5.650000 6.725902 6.725902
5.700000 6.565319 6.565319
5.750000 6.408251 6.408251
5.800000 6.254618 6.254618
5.850000 6.104343 6.104343
5.900000 5.957351 5.957351
5.950000 5.813567 5.813567
6.000000 5.672920 5.672920
6.050000 5.535339 5.535339
6.100000 5.400757 5.400757
6.150000 5.269104 5.269104
6.200000 5.140317 5.140317
6.250000 5.014331 5.014331
6.300000 4.891083 4.891083
6.350000 4.770513 4.770513
6.400000 4.652560 4.652560
6.450000 4.537167 4.537167
6.500000 4.424277 4.424277
6.550000 4.313833 4.313833
6.600000 4.205782 4.205782
6.650000 4.100070 4.100070
6.700000 3.996646 3.996646
6.750000 3.895459 3.895459
6.800000 3.796458 3.796458
6.850000 3.699597 3.699597
6.900000 3.604827 3.604827
6.950000 3.512102 3.512102
7.000000 3.421378 3.421378
7.050000 3.332609 3.332609
7.100000 3.245753 3.245753
7.150000 3.160768 3.160768
7.200000 3.077612 3.077612
7.250000 2.996246 2.996246
7.300000 2.916629 2.916629
7.350000 2.838724 2.838724
7.400000 2.762492 2.762492
7.450000 2.687898 2.687898
7.500000 2.614905 2.614905
7.550000 2.543477 2.543477
7.600000 2.473582 2.473582
7.650000 2.405184 2.405184
7.700000 2.338252 2.338252
7.750000 2.272754 2.272754
7.800000 2.208657 2.208657
7.850000 2.145932 2.145932
7.900000 2.084548 2.084548
7.950000 2.024477 2.024477
8.000000 1.965689 1.965689
8.050000 1.908156 1.908156
8.100000 1.851852 1.851852
8.150000 1.796750 1.796750
8.200000 1.742823 1.742823
8.250000 1.690045 1.690045
8.300000 1.638393 1.638393
8.350000 1.587841 1.587841
8.400000 1.538366 1.538366
8.450000 1.489944 1.489944
8.500000 1.442552 1.442552
8.550000 1.396168 1.396168
8.600000 1.350771 1.350771
8.650000 1.306338 1.306338
8.700000 1.262850 1.262850
8.750000 1.220285 1.220285
8.800000 1.178623 1.178623
8.850000 1.137846 1.137846
8.900000 1.097934 1.097934
8.950000 1.058868 1.058868
9.000000 1.020630 1.020630
9.050000 0.983203 0.983203
9.100000 0.946568 0.946568
9.150000 0.910709 0.910709
9.200000 0.875609 0.875609
9.250000 0.841252 0.841252
9.300000 0.807621 0.807621
9.350000 0.774701 0.774701
9.400000 0.742478 0.742478
9.450000 0.710935 0.710935
9.500000 0.680058 0.680058
9.550000 0.649834 0.649834
9.600000 0.620247 0.620247
9.650000 0.591285 0.591285
9.700000 0.562933 0.562933
9.750000 0.535180 0.535180
9.800000 0.508011 0.508011
9.850000 0.481415 0.481415
9.900000 0.455380 0.455380
9.950000 0.429892 0.429892
10.000000 0.404941 0.404941
10.050000 0.380515 0.380515
10.100000 0.356604 0.356604
10.150000 0.333195 0.333195
10.200000 0.310278 0.310278
10.250000 0.287843 0.287843
10.300000 0.265879 0.265879
10.350000 0.244377 0.244377
10.400000 0.223327 0.223327
10.450000 0.202718 0.202718
10.500000 0.182542 0.182542
10.550000 0.162789 0.162789
10.600000 0.143450 0.143450
10.650000 0.124517 0.124517
10.700000 0.105981 0.105981
10.750000 0.087833 0.087833
10.800000 0.070066 0.070066
10.850000 0.052671 0.052671
10.900000 0.035640 0.035640
10.950000 0.018965 0.018965
11.000000 0.002639 0.002639
11.050000 -0.013345 -0.013345
11.100000 -0.028994 -0.028994
11.150000 -0.044317 -0.044317
11.200000 -0.059319 -0.059319
11.250000 -0.074008 -0.074008
11.300000 -0.088389 -0.088389
11.350000 -0.102471 -0.102471
11.400000 -0.116258 -0.116258
11.450000 -0.129757 -0.129757
11.500000 -0.142975 -0.142975
11.550000 -0.155917 -0.155917
11.600000 -0.168589 -0.168589
11.650000 -0.180996 -0.180996
11.700000 -0.193145 -0.193145
11.750000 -0.205041 -0.205041
11.800000 -0.216689 -0.216689
11.850000 -0.228094 -0.228094
11.900000 -0.239262 -0.239262
11.950000 -0.250197 -0.250197
12.000000 -0.260904 -0.260904
12.050000 -0.271389 -0.271389
12.100000 -0.281655 -0.281655
12.150000 -0.291708 -0.291708
12.200000 -0.301552 -0.301552
12.250000 -0.311191 -0.311191
12.300000 -0.320629 -0.320629
12.350000 -0.329872 -0.329872
12.400000 -0.338922 -0.338922
12.450000 -0.347784 -0.347784
12.500000 -0.356463 -0.356463
12.550000 -0.364961 -0.364961
12.600000 -0.373283 -0.373283
12.650000 -0.381432 -0.381432
12.700000 -0.389412 -0.389412
12.750000 -0.397226 -0.397226
12.800000 -0.404878 -0.404878
12.850000 -0.412372 -0.412372
12.900000 -0.419710 -0.419710
12.950000 -0.426896 -0.426896
13.000000 -0.433933 -0.433933
13.050000 -0.440825 -0.440825
13.100000 -0.447574 -0.447574
13.150000 -0.454182 -0.454182
13.200000 -0.460654 -0.460654
13.250000 -0.466993 -0.466993
13.300000 -0.473200 -0.473200
13.350000 -0.479278 -0.479278
13.400000 -0.485231 -0.485231
13.450000 -0.491060 -0.491060
13.500000 -0.496769 -0.496769
13.550000 -0.502360 -0.502360
13.600000 -0.507836 -0.507836
13.650000 -0.513198 -0.513198
13.700000 -0.518450 -0.518450
13.750000 -0.523593 -0.523593
13.800000 -0.528629 -0.528629
13.850000 -0.533562 -0.533562
13.900000 -0.538393 -0.538393
13.950000 -0.543124 -0.543124
14.000000 -0.547758 -0.547758
14.050000 -0.552296 -0.552296
14.100000 -0.556740 -0.556740
14.150000 -0.561093 -0.561093
14.200000 -0.565356 -0.565356
14.250000 -0.569531 -0.569531
14.300000 -0.573620 -0.573620
14.350000 -0.577624 -0.577624
14.400000 -0.581547 -0.581547
14.450000 -0.585388 -0.585388
14.500000 -0.589150 -0.589150
14.550000 -0.592835 -0.592835
14.600000 -0.596444 -0.596444
14.650000 -0.599978 -0.599978
14.700000 -0.603440 -0.603440
14.750000 -0.606831 -0.606831
14.800000 -0.610151 -0.610151
14.850000 -0.613404 -0.613404
14.900000 -0.616589 -0.616589
14.950000 -0.619709 -0.619709
15.000000 -0.622765 -0.622765
15.050000 -0.625758 -0.625758
15.100000 -0.628690 -0.628690
15.150000 -0.631561 -0.631561
15.200000 -0.634374 -0.634374
15.250000 -0.637128 -0.637128
15.300000 -0.639826 -0.639826
15.350000 -0.642469 -0.642469
15.400000 -0.645057 -0.645057
15.450000 -0.647592 -0.647592
15.500000 -0.650075 -0.650075
15.550000 -0.652507 -0.652507
15.600000 -0.654889 -0.654889
15.650000 -0.657223 -0.657223
15.700000 -0.659508 -0.659508
15.750000 -0.661747 -0.661747
15.800000 -0.663939 -0.663939
15.850000 -0.666087 -0.666087
15.900000 -0.668191 -0.668191
15.950000 -0.670251 -0.670251
16.000000 -0.672270 -0.672270
16.050000 -0.674247 -0.674247
16.100000 -0.676183 -0.676183
16.150000 -0.678080 -0.678080
16.200000 -0.679938 -0.679938
16.250000 -0.681758 -0.681758
16.300000 -0.683540 -0.683540
16.350000 -0.685287 -0.685287
16.400000 -0.686997 -0.686997
16.450000 -0.688672 -0.688672
16.500000 -0.690314 -0.690314
16.550000 -0.691921 -0.691921
16.600000 -0.693496 -0.693496
16.650000 -0.695038 -0.695038
16.700000 -0.696549 -0.696549
16.750000 -0.698029 -0.698029
16.800000 -0.699479 -0.699479
16.850000 -0.700899 -0.700899
16.900000 -0.702290 -0.702290
16.950000 -0.703653 -0.703653
17.000000 -0.704987 -0.704987
17.050000 -0.706295 -0.706295
17.100000 -0.707576 -0.707576
17.150000 -0.708831 -0.708831
17.200000 -0.710060 -0.710060
17.250000 -0.711264 -0.711264
17.300000 -0.712443 -0.712443
17.350000 -0.713598 -0.713598
17.400000 -0.714730 -0.714730
17.450000 -0.715839 -0.715839
17.500000 -0.716925 -0.716925
17.550000 -0.717988 -0.717988
17.600000 -0.719031 -0.719031
17.650000 -0.720051 -0.720051
17.700000 -0.721051 -0.721051
17.750000 -0.722031 -0.722031
17.800000 -0.722991 -0.722991
17.850000 -0.723931 -0.723931
17.900000 -0.724852 -0.724852
17.950000 -0.725754 -0.725754
18.000000 -0.726638 -0.726638
18.050000 -0.727504 -0.727504
18.100000 -0.728352 -0.728352
18.150000 -0.729183 -0.729183
18.200000 -0.729997 -0.729997
18.250000 -0.730794 -0.730794
