fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 38.349092 37.703718
3.650000 38.185527 37.022659
3.700000 38.000226 36.353807
3.750000 37.780997 35.696927
3.800000 37.516920 35.051788
3.850000 37.198605 34.418168
3.900000 36.818414 33.795846
3.950000 36.370631 33.184608
4.000000 35.851584 32.584241
4.050000 35.259718 31.994541
4.100000 34.595609 31.415305
4.150000 33.861925 30.846336
4.200000 33.063337 30.287439
4.250000 32.206377 29.738426
4.300000 31.299252 29.199110
4.350000 30.351618 28.669309
4.400000 29.374315 28.148846
4.450000 28.379081 27.637545
4.500000 27.378241 27.135235
4.550000 26.384383 26.641750
4.600000 25.410038 26.156924
4.650000 24.467352 25.680597
4.700000 23.567783 25.212612
4.750000 22.721810 24.752813
4.800000 21.938674 24.301050
4.850000 21.226146 23.857173
4.900000 20.590345 23.421039
4.950000 20.035590 22.992503
5.000000 19.564304 22.571428
5.050000 19.176963 22.157675
5.100000 18.872102 21.751110
5.150000 18.646359 21.351602
5.200000 18.494580 20.959023
5.250000 18.409957 20.573245
5.300000 18.384214 20.194145
5.350000 18.407824 19.821601
5.400000 18.470261 19.455494
5.450000 18.560271 19.095707
5.500000 18.666158 18.742126
5.550000 18.776085 18.394639
5.600000 18.878372 18.053135
5.650000 18.961785 17.717506
5.700000 19.015813 17.387646
5.750000 19.030933 17.063452
5.800000 18.998832 16.744822
5.850000 18.912605 16.431655
5.900000 18.766923 16.123854
5.950000 18.558142 15.821322
6.000000 18.284385 15.523966
6.050000 17.945568 15.231692
6.100000 17.543387 14.944410
6.150000 17.081257 14.662031
6.200000 16.564205 14.384467
6.250000 15.998730 14.111634
6.300000 15.392622 13.843446
6.350000 14.754754 13.579821
6.400000 14.094840 13.320679
6.450000 13.423184 13.065940
6.500000 12.750411 12.815526
6.550000 12.087193 12.569360
6.600000 11.443974 12.327368
6.650000 10.830711 12.089476
6.700000 10.256617 11.855611
6.750000 9.729937 11.625704
6.800000 9.257744 11.399683
6.850000 8.845770 11.177481
6.900000 8.498266 10.959031
6.950000 8.217911 10.744267
7.000000 8.005753 10.533124
7.050000 7.861195 10.325540
7.100000 7.782024 10.121451
7.150000 7.764478 9.920797
7.200000 7.803354 9.723518
7.250000 7.892150 9.529554
7.300000 8.023243 9.338849
7.350000 8.188083 9.151346
7.400000 8.377424 8.966988
7.450000 8.581558 8.785721
7.500000 8.790566 8.607492
7.550000 8.994568 8.432248
7.600000 9.183973 8.259936
7.650000 9.349717 8.090507
7.700000 9.483490 7.923911
7.750000 9.577932 7.760098
7.800000 9.626817 7.599020
7.850000 9.625196 7.440630
7.900000 9.569513 7.284882
7.950000 9.457675 7.131731
8.000000 9.289102 6.981131
8.050000 9.064718 6.833038
8.100000 8.786917 6.687411
8.150000 8.459489 6.544206
8.200000 8.087511 6.403381
8.250000 7.677206 6.264896
8.300000 7.235770 6.128711
8.350000 6.771190 5.994787
8.400000 6.292023 5.863084
8.450000 5.807179 5.733565
8.500000 5.325694 5.606192
8.550000 4.856490 5.480929
8.600000 4.408158 5.357740
8.650000 3.988738 5.236589
8.700000 3.605519 5.117442
8.750000 3.264862 5.000265
8.800000 2.972044 4.885024
8.850000 2.731133 4.771686
8.900000 2.544897 4.660218
8.950000 2.414741 4.550590
9.000000 2.340684 4.442770
9.050000 2.321371 4.336727
9.100000 2.354114 4.232431
9.150000 2.434978 4.129853
9.200000 2.558884 4.028963
9.250000 2.719749 3.929733
9.300000 2.910651 3.832135
9.350000 3.124006 3.736141
9.400000 3.351770 3.641724
9.450000 3.585641 3.548858
9.500000 3.817276 3.457517
9.550000 4.038499 3.367674
9.600000 4.241507 3.279305
9.650000 4.419063 3.192385
9.700000 4.564675 3.106889
9.750000 4.672752 3.022793
9.800000 4.738739 2.940075
9.850000 4.759222 2.858710
9.900000 4.732003 2.778677
9.950000 4.656146 2.699952
10.000000 4.531990 2.622514
10.050000 4.361124 2.546341
10.100000 4.146343 2.471413
10.150000 3.891561 2.397708
10.200000 3.601700 2.325206
10.250000 3.282563 2.253886
10.300000 2.940671 2.183730
10.350000 2.583098 2.114717
10.400000 2.217281 2.046828
10.450000 1.850829 1.980046
10.500000 1.491333 1.914351
10.550000 1.146168 1.849725
10.600000 0.822307 1.786150
10.650000 0.526154 1.723610
10.700000 0.263378 1.662086
10.750000 0.038783 1.601562
10.800000 -0.143815 1.542021
10.850000 -0.281669 1.483447
10.900000 -0.373164 1.425824
10.950000 -0.417852 1.369136
11.000000 -0.416449 1.313368
11.050000 -0.370810 1.258504
11.100000 -0.283872 1.204529
11.150000 -0.159569 1.151429
11.200000 -0.002726 1.099189
11.250000 0.181071 1.047795
11.300000 0.385623 0.997233
11.350000 0.604280 0.947489
11.400000 0.830114 0.898550
11.450000 1.056095 0.850402
11.500000 1.275270 0.803033
11.550000 1.480938 0.756429
11.600000 1.666819 0.710578
11.650000 1.827207 0.665467
11.700000 1.957110 0.621085
11.750000 2.052372 0.577419
11.800000 2.109766 0.534457
11.850000 2.127072 0.492188
11.900000 2.103122 0.450601
11.950000 2.037823 0.409685
12.000000 1.932143 0.369427
12.050000 1.788085 0.329818
12.100000 1.608622 0.290847
12.150000 1.397616 0.252503
12.200000 1.159709 0.214776
12.250000 0.900201 0.177656
12.300000 0.624909 0.141133
12.350000 0.340015 0.105197
12.400000 0.051904 0.069839
12.450000 -0.232997 0.035049
12.500000 -0.508382 0.000818
12.550000 -0.768229 -0.032863
12.600000 -1.006946 -0.066004
12.650000 -1.219512 -0.098612
12.700000 -1.401597 -0.130698
12.750000 -1.549670 -0.162269
12.800000 -1.661077 -0.193333
12.850000 -1.734104 -0.223900
12.900000 -1.768011 -0.253977
12.950000 -1.763044 -0.283571
13.000000 -1.720417 -0.312692
13.050000 -1.642280 -0.341347
13.100000 -1.531648 -0.369542
13.150000 -1.392323 -0.397287
13.200000 -1.228791 -0.424588
13.250000 -1.046098 -0.451452
13.300000 -0.849725 -0.477886
13.350000 -0.645436 -0.503898
13.400000 -0.439140 -0.529494
13.450000 -0.236731 -0.554681
13.500000 -0.043946 -0.579466
13.550000 0.133784 -0.603854
13.600000 0.291464 -0.627854
13.650000 0.424663 -0.651471
13.700000 0.529617 -0.674710
13.750000 0.603319 -0.697579
13.800000 0.643589 -0.720083
13.850000 0.649126 -0.742229
13.900000 0.619524 -0.764021
13.950000 0.555284 -0.785466
14.000000 0.457787 -0.806569
14.050000 0.329254 -0.827336
14.100000 0.172681 -0.847773
14.150000 -0.008242 -0.867884
14.200000 -0.209233 -0.887675
14.250000 -0.425530 -0.907151
14.300000 -0.652014 -0.926317
14.350000 -0.883349 -0.945179
14.400000 -1.114112 -0.963740
14.450000 -1.338932 -0.982007
14.500000 -1.552631 -0.999983
14.550000 -1.750348 -1.017673
14.600000 -1.927662 -1.035082
14.650000 -2.080702 -1.052215
14.700000 -2.206235 -1.069076
14.750000 -2.301749 -1.085669
14.800000 -2.365505 -1.101999
14.850000 -2.396580 -1.118070
14.900000 -2.394877 -1.133885
14.950000 -2.361127 -1.149450
15.000000 -2.296859 -1.164768
15.050000 -2.204353 -1.179844
15.100000 -2.086583 -1.194680
15.150000 -1.947129 -1.209281
15.200000 -1.790083 -1.223651
15.250000 -1.619942 -1.237793
15.300000 -1.441491 -1.251711
15.350000 -1.259676 -1.265409
15.400000 -1.079482 -1.278890
15.450000 -0.905803 -1.292158
15.500000 -0.743322 -1.305216
15.550000 -0.596390 -1.318067
15.600000 -0.468922 -1.330715
15.650000 -0.364302 -1.343163
15.700000 -0.285298 -1.355414
15.750000 -0.234004 -1.367472
15.800000 -0.211784 -1.379339
15.850000 -0.219254 -1.391018
15.900000 -0.256263 -1.402513
15.950000 -0.321911 -1.413827
16.000000 -0.414575 -1.424962
16.050000 -0.531956 -1.435921
16.100000 -0.671146 -1.446707
16.150000 -0.828704 -1.457323
16.200000 -1.000749 -1.467771
16.250000 -1.183062 -1.478055
16.300000 -1.371198 -1.488177
16.350000 -1.560597 -1.498138
16.400000 -1.746704 -1.507943
16.450000 -1.925080 -1.517594
16.500000 -2.091520 -1.527092
16.550000 -2.242151 -1.536440
16.600000 -2.373531 -1.545642
16.650000 -2.482734 -1.554698
16.700000 -2.567415 -1.563612
16.750000 -2.625867 -1.572386
16.800000 -2.657060 -1.581021
16.850000 -2.660659 -1.589520
16.900000 -2.637029 -1.597886
16.950000 -2.587216 -1.606120
17.000000 -2.512920 -1.614225
17.050000 -2.416440 -1.622202
17.100000 -2.300616 -1.630054
17.150000 -2.168750 -1.637783
17.200000 -2.024518 -1.645389
17.250000 -1.871876 -1.652877
17.300000 -1.714954 -1.660247
17.350000 -1.557952 -1.667501
17.400000 -1.405034 -1.674641
17.450000 -1.260220 -1.681669
17.500000 -1.127288 -1.688586
17.550000 -1.009679 -1.695395
17.600000 -0.910414 -1.702097
17.650000 -0.832018 -1.708694
17.700000 -0.776467 -1.715188
17.750000 -0.745134 -1.721579
17.800000 -0.738767 -1.727871
17.850000 -0.757470 -1.734064
17.900000 -0.800711 -1.740159
17.950000 -0.867337 -1.746159
18.000000 -0.955609 -1.752065
18.050000 -1.063255 -1.757879
18.100000 -1.187528 -1.763601
18.150000 -1.325280 -1.769234
18.200000 -1.473047 -1.774779
18.250000 -1.627142 -1.780237
18.300000 -1.783743 -1.785609
18.350000 -1.938998 -1.790897
18.400000 -2.089120 -1.796103
18.450000 -2.230482 -1.801227
18.500000 -2.359709 -1.806270
18.550000 -2.473760 -1.811235
18.600000 -2.570003 -1.816122
18.650000 -2.646278 -1.820933
18.700000 -2.700949 -1.825669
18.750000 -2.732938 -1.830330
18.800000 -2.741749 -1.834919
18.850000 -2.727476 -1.839436
18.900000 -2.690795 -1.843882
18.950000 -2.632944 -1.848259
19.000000 -2.555683 -1.852568
19.050000 -2.461246 -1.856809
19.100000 -2.352283 -1.860984
19.150000 -2.231788 -1.865094
19.200000 -2.103016 -1.869140
19.250000 -1.969405 -1.873122
19.300000 -1.834484 -1.877042
19.350000 -1.701781 -1.880902
19.400000 -1.574739 -1.884700
19.450000 -1.456624 -1.888440
19.500000 -1.350445 -1.892121
19.550000 -1.258884 -1.895745
19.600000 -1.184226 -1.899313
19.650000 -1.128307 -1.902825
19.700000 -1.092471 -1.906282
19.750000 -1.077540 -1.909685
19.800000 -1.083798 -1.913035
19.850000 -1.110988 -1.916333
19.900000 -1.158323 -1.919579
19.950000 -1.224514 -1.922775
20.000000 -1.307801 -1.925922
20.050000 -1.406005 -1.929019
20.100000 -1.516589 -1.932068
20.150000 -1.636722 -1.935069
20.200000 -1.763352 -1.938024
20.250000 -1.893291 -1.940933
20.300000 -2.023293 -1.943796
20.350000 -2.150135 -1.946615
20.400000 -2.270703 -1.949390
20.450000 -2.382068 -1.952122
20.500000 -2.481556 -1.954812
20.550000 -2.566819 -1.957459
20.600000 -2.635887 -1.960066
20.650000 -2.687217 -1.962632
20.700000 -2.719727 -1.965158
20.750000 -2.732820 -1.967645
20.800000 -2.726396 -1.970093
20.850000 -2.700849 -1.972503
20.900000 -2.657054 -1.974876
20.950000 -2.596337 -1.977211
21.000000 -2.520444 -1.979511
21.050000 -2.431487 -1.981775
21.100000 -2.331891 -1.984003
21.150000 -2.224328 -1.986197
21.200000 -2.111647 -1.988357
21.250000 -1.996804 -1.990484
21.300000 -1.882780 -1.992577
21.350000 -1.772510 -1.994638
21.400000 -1.668809 -1.996667
21.450000 -1.574298 -1.998665
21.500000 -1.491343 -2.000631
21.550000 -1.421997 -2.002567
21.600000 -1.367946 -2.004473
21.650000 -1.330478 -2.006349
21.700000 -1.310445 -2.008197
21.750000 -1.308250 -2.010015
21.800000 -1.323843 -2.011806
21.850000 -1.356718 -2.013569
21.900000 -1.405939 -2.015304
21.950000 -1.470160 -2.017013
22.000000 -1.547669 -2.018695
22.050000 -1.636429 -2.020351
22.100000 -1.734137 -2.021981
22.150000 -1.838280 -2.023586
22.200000 -1.946206 -2.025166
22.250000 -2.055187 -2.026722
22.300000 -2.162493 -2.028254
22.350000 -2.265458 -2.029762
22.400000 -2.361551 -2.031246
22.450000 -2.448432 -2.032708
22.500000 -2.524019 -2.034147
22.550000 -2.586530 -2.035564
22.600000 -2.634532 -2.036959
22.650000 -2.666968 -2.038332
22.700000 -2.683187 -2.039684
22.750000 -2.682952 -2.041015
22.800000 -2.666447 -2.042326
22.850000 -2.634262 -2.043616
22.900000 -2.587383 -2.044886
22.950000 -2.527157 -2.046137
23.000000 -2.455256 -2.047368
23.050000 -2.373635 -2.048581
23.100000 -2.284477 -2.049774
23.150000 -2.190136 -2.050949
23.200000 -2.093077 -2.052106
23.250000 -1.995813 -2.053245
23.300000 -1.900838 -2.054367
23.350000 -1.810568 -2.055471
23.400000 -1.727276 -2.056558
23.450000 -1.653041 -2.057629
23.500000 -1.589691 -2.058682
23.550000 -1.538766 -2.059720
23.600000 -1.501473 -2.060742
23.650000 -1.478665 -2.061747
23.700000 -1.470821 -2.062738
23.750000 -1.478035 -2.063713
23.800000 -1.500019 -2.064672
23.850000 -1.536112 -2.065618
23.900000 -1.585301 -2.066548
23.950000 -1.646252 -2.067464
24.000000 -1.717340 -2.068366
24.050000 -1.796700 -2.069254
24.100000 -1.882273 -2.070129
24.150000 -1.971859 -2.070990
24.200000 -2.063174 -2.071838
24.250000 -2.153913 -2.072672
24.300000 -2.241803 -2.073494
24.350000 -2.324662 -2.074303
24.400000 -2.400455 -2.075100
24.450000 -2.467343 -2.075884
24.500000 -2.523729 -2.076656
24.550000 -2.568295 -2.077417
24.600000 -2.600033 -2.078165
24.650000 -2.618269 -2.078902
24.700000 -2.622676 -2.079628
24.750000 -2.613283 -2.080343
24.800000 -2.590463 -2.081046
24.850000 -2.554929 -2.081739
24.900000 -2.507710 -2.082421
24.950000 -2.450119 -2.083093
25.000000 -2.383724 -2.083754
25.050000 -2.310299 -2.084405
25.100000 -2.231782 -2.085046
25.150000 -2.150223 -2.085677
25.200000 -2.067730 -2.086299
25.250000 -1.986418 -2.086911
25.300000 -1.908351 -2.087513
25.350000 -1.835496 -2.088106
25.400000 -1.769667 -2.088690
25.450000 -1.712487 -2.089266
25.500000 -1.665344 -2.089832
25.550000 -1.629361 -2.090389
25.600000 -1.605365 -2.090938
25.650000 -1.593876 -2.091479
25.700000 -1.595091 -2.092011
25.750000 -1.608881 -2.092535
25.800000 -1.634802 -2.093051
25.850000 -1.672105 -2.093559
25.900000 -1.719760 -2.094060
25.950000 -1.776483 -2.094552
26.000000 -1.840769 -2.095037
26.050000 -1.910938 -2.095515
26.100000 -1.985173 -2.095985
26.150000 -2.061569 -2.096448
26.200000 -2.138185 -2.096904
26.250000 -2.213088 -2.097353
26.300000 -2.284408 -2.097795
26.350000 -2.350379 -2.098230
26.400000 -2.409388 -2.098659
26.450000 -2.460011 -2.099081
26.500000 -2.501048 -2.099496
26.550000 -2.531553 -2.099905
26.600000 -2.550855 -2.100308
26.650000 -2.558573 -2.100705
26.700000 -2.554620 -2.101095
26.750000 -2.539209 -2.101480
26.800000 -2.512838 -2.101858
26.850000 -2.476280 -2.102231
26.900000 -2.430560 -2.102598
26.950000 -2.376923 -2.102960
27.000000 -2.316807 -2.103316
27.050000 -2.251801 -2.103666
27.100000 -2.183601 -2.104012
27.150000 -2.113974 -2.104351
27.200000 -2.044703 -2.104686
27.250000 -1.977549 -2.105016
27.300000 -1.914204 -2.105340
27.350000 -1.856247 -2.105659
27.400000 -1.805109 -2.105974
27.450000 -1.762035 -2.106284
27.500000 -1.728053 -2.106589
27.550000 -1.703954 -2.106889
27.600000 -1.690271 -2.107185
27.650000 -1.687266 -2.107476
27.700000 -1.694933 -2.107763
27.750000 -1.712990 -2.108045
27.800000 -1.740898 -2.108323
27.850000 -1.777872 -2.108597
27.900000 -1.822903 -2.108867
27.950000 -1.874788 -2.109132
28.000000 -1.932159 -2.109393
28.050000 -1.993523 -2.109651
28.100000 -2.057295 -2.109904
28.150000 -2.121847 -2.110154
28.200000 -2.185541 -2.110400
28.250000 -2.246779 -2.110642
28.300000 -2.304037 -2.110880
28.350000 -2.355903 -2.111115
28.400000 -2.401116 -2.111346
28.450000 -2.438595 -2.111573
28.500000 -2.467463 -2.111797
28.550000 -2.487068 -2.112018
28.600000 -2.497000 -2.112235
28.650000 -2.497096 -2.112449
28.700000 -2.487444 -2.112660
28.750000 -2.468379 -2.112867
28.800000 -2.440470 -2.113071
28.850000 -2.404507 -2.113272
28.900000 -2.361474 -2.113470
28.950000 -2.312530 -2.113665
29.000000 -2.258970 -2.113857
29.050000 -2.202195 -2.114047
29.100000 -2.143678 -2.114233
29.150000 -2.084920 -2.114416
29.200000 -2.027416 -2.114597
29.250000 -1.972618 -2.114774
29.300000 -1.921895 -2.114950
29.350000 -1.876501 -2.115122
29.400000 -1.837544 -2.115292
29.450000 -1.805961 -2.115459
29.500000 -1.782491 -2.115624
29.550000 -1.767664 -2.115786
29.600000 -1.761784 -2.115945
29.650000 -1.764927 -2.116103
29.700000 -1.776939 -2.116257
29.750000 -1.797442 -2.116410
29.800000 -1.825849 -2.116560
29.850000 -1.861374 -2.116708
29.900000 -1.903060 -2.116853
29.950000 -1.949801 -2.116997
30.000000 -2.000372 -2.117138
30.050000 -2.053463 -2.117277
30.100000 -2.107710 -2.117414
30.150000 -2.161732 -2.117548
30.200000 -2.214167 -2.117681
30.250000 -2.263702 -2.117812
30.300000 -2.309111 -2.117941
