fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 21.590757 20.200967
3.750000 21.422583 19.797099
3.800000 21.219726 19.401280
3.850000 20.978270 19.013340
3.900000 20.695466 18.633115
3.950000 20.369775 18.260442
4.000000 20.000875 17.895164
4.050000 19.589645 17.537128
4.100000 19.138116 17.186181
4.150000 18.649398 16.842177
4.200000 18.127585 16.504971
4.250000 17.577635 16.174423
4.300000 17.005234 15.850395
4.350000 16.416642 15.532752
4.400000 15.818540 15.221362
4.450000 15.217851 14.916096
4.500000 14.621578 14.616829
4.550000 14.036626 14.323437
4.600000 13.469649 14.035800
4.650000 12.926882 13.753799
4.700000 12.414012 13.477319
4.750000 11.936040 13.206248
4.800000 11.497182 12.940475
4.850000 11.100778 12.679891
4.900000 10.749225 12.424392
4.950000 10.443940 12.173874
5.000000 10.185341 11.928235
5.050000 9.972851 11.687377
5.100000 9.804931 11.451203
5.150000 9.679130 11.219617
5.200000 9.592161 10.992528
5.250000 9.539985 10.769845
5.300000 9.517927 10.551478
5.350000 9.520787 10.337341
5.400000 9.542980 10.127348
5.450000 9.578663 9.921417
5.500000 9.621883 9.719465
5.550000 9.666714 9.521413
5.600000 9.707395 9.327183
5.650000 9.738461 9.136699
5.700000 9.754865 8.949885
5.750000 9.752086 8.766667
5.800000 9.726226 8.586976
5.850000 9.674084 8.410739
5.900000 9.593225 8.237889
5.950000 9.482013 8.068357
6.000000 9.339638 7.902079
6.050000 9.166116 7.738989
6.100000 8.962271 7.579025
6.150000 8.729704 7.422123
6.200000 8.470732 7.268225
6.250000 8.188322 7.117270
6.300000 7.886010 6.969199
6.350000 7.567801 6.823957
6.400000 7.238067 6.681488
6.450000 6.901436 6.541736
6.500000 6.562675 6.404649
6.550000 6.226576 6.270174
6.600000 5.897839 6.138259
6.650000 5.580964 6.008854
6.700000 5.280147 5.881911
6.750000 4.999182 5.757380
6.800000 4.741385 5.635215
6.850000 4.509517 5.515370
6.900000 4.305730 5.397798
6.950000 4.131531 5.282456
7.000000 3.987751 5.169300
7.050000 3.874541 5.058287
7.100000 3.791378 4.949376
7.150000 3.737092 4.842525
7.200000 3.709902 4.737696
7.250000 3.707468 4.634847
7.300000 3.726959 4.533942
7.350000 3.765125 4.434941
7.400000 3.818381 4.337809
7.450000 3.882899 4.242508
7.500000 3.954698 4.149004
7.550000 4.029746 4.057262
7.600000 4.104048 3.967247
7.650000 4.173743 3.878926
7.700000 4.235193 3.792267
7.750000 4.285058 3.707238
7.800000 4.320375 3.623806
7.850000 4.338615 3.541942
7.900000 4.337739 3.461614
7.950000 4.316229 3.382794
8.000000 4.273121 3.305452
8.050000 4.208011 3.229561
8.100000 4.121056 3.155091
8.150000 4.012958 3.082017
8.200000 3.884938 3.010310
8.250000 3.738697 2.939945
8.300000 3.576362 2.870897
8.350000 3.400435 2.803139
8.400000 3.213718 2.736648
8.450000 3.019247 2.671399
8.500000 2.820214 2.607368
8.550000 2.619885 2.544531
8.600000 2.421526 2.482868
8.650000 2.228321 2.422354
8.700000 2.043302 2.362967
8.750000 1.869276 2.304688
8.800000 1.708767 2.247493
8.850000 1.563956 2.191364
8.900000 1.436640 2.136278
8.950000 1.328193 2.082218
9.000000 1.239544 2.029162
9.050000 1.171161 1.977092
9.100000 1.123050 1.925990
9.150000 1.094759 1.875837
9.200000 1.085403 1.826614
9.250000 1.093687 1.778305
9.300000 1.117946 1.730892
9.350000 1.156193 1.684358
9.400000 1.206165 1.638687
9.450000 1.265389 1.593861
9.500000 1.331239 1.549866
9.550000 1.401000 1.506685
9.600000 1.471938 1.464303
9.650000 1.541359 1.422705
9.700000 1.606674 1.381877
9.750000 1.665458 1.341803
9.800000 1.715502 1.302469
9.850000 1.754863 1.263862
9.900000 1.781902 1.225968
9.950000 1.795321 1.188773
10.000000 1.794179 1.152265
10.050000 1.777917 1.116430
10.100000 1.746356 1.081256
10.150000 1.699697 1.046730
10.200000 1.638509 1.012840
10.250000 1.563707 0.979575
10.300000 1.476524 0.946922
10.350000 1.378479 0.914870
10.400000 1.271330 0.883407
10.450000 1.157032 0.852524
10.500000 1.037685 0.822208
10.550000 0.915482 0.792450
10.600000 0.792656 0.763239
10.650000 0.671426 0.734564
10.700000 0.553943 0.706415
10.750000 0.442243 0.678784
10.800000 0.338200 0.651659
10.850000 0.243484 0.625033
10.900000 0.159526 0.598894
10.950000 0.087486 0.573235
11.000000 0.028235 0.548046
11.050000 -0.017662 0.523319
11.100000 -0.049958 0.499045
11.150000 -0.068717 0.475215
11.200000 -0.074312 0.451821
11.250000 -0.067410 0.428856
11.300000 -0.048948 0.406311
11.350000 -0.020109 0.384178
11.400000 0.017711 0.362450
11.450000 0.062940 0.341119
11.500000 0.113871 0.320178
11.550000 0.168702 0.299619
11.600000 0.225584 0.279436
11.650000 0.282661 0.259622
11.700000 0.338118 0.240169
11.750000 0.390218 0.221071
11.800000 0.437347 0.202322
11.850000 0.478044 0.183914
11.900000 0.511036 0.165842
11.950000 0.535265 0.148100
12.000000 0.549905 0.130681
12.050000 0.554380 0.113579
12.100000 0.548370 0.096789
12.150000 0.531820 0.080304
12.200000 0.504927 0.064120
12.250000 0.468138 0.048230
12.300000 0.422130 0.032629
12.350000 0.367793 0.017312
12.400000 0.306204 0.002273
12.450000 0.238594 -0.012492
12.500000 0.166323 -0.026989
12.550000 0.090840 -0.041222
12.600000 0.013648 -0.055197
12.650000 -0.063729 -0.068918
12.700000 -0.139788 -0.082390
12.750000 -0.213077 -0.095617
12.800000 -0.282233 -0.108604
12.850000 -0.346010 -0.121356
12.900000 -0.403304 -0.133876
12.950000 -0.453181 -0.146170
13.000000 -0.494895 -0.158240
13.050000 -0.527899 -0.170092
13.100000 -0.551858 -0.181729
13.150000 -0.566649 -0.193155
13.200000 -0.572367 -0.204374
13.250000 -0.569309 -0.215390
13.300000 -0.557973 -0.226206
13.350000 -0.539034 -0.236827
13.400000 -0.513332 -0.247255
13.450000 -0.481846 -0.257495
13.500000 -0.445667 -0.267550
13.550000 -0.405972 -0.277423
13.600000 -0.363997 -0.287117
13.650000 -0.321001 -0.296636
13.700000 -0.278242 -0.305984
13.750000 -0.236943 -0.315162
13.800000 -0.198268 -0.324174
13.850000 -0.163290 -0.333024
13.900000 -0.132974 -0.341714
13.950000 -0.108152 -0.350247
14.000000 -0.089507 -0.358626
14.050000 -0.077561 -0.366854
14.100000 -0.072664 -0.374933
14.150000 -0.074990 -0.382867
14.200000 -0.084535 -0.390658
14.250000 -0.101124 -0.398308
14.300000 -0.124412 -0.405821
14.350000 -0.153904 -0.413198
14.400000 -0.188962 -0.420442
14.450000 -0.228825 -0.427555
14.500000 -0.272632 -0.434541
14.550000 -0.319440 -0.441400
14.600000 -0.368252 -0.448137
14.650000 -0.418039 -0.454752
14.700000 -0.467764 -0.461248
14.750000 -0.516409 -0.467627
14.800000 -0.562998 -0.473891
14.850000 -0.606620 -0.480043
14.900000 -0.646445 -0.486084
14.950000 -0.681749 -0.492017
15.000000 -0.711924 -0.497842
15.050000 -0.736492 -0.503564
15.100000 -0.755114 -0.509182
15.150000 -0.767594 -0.514699
15.200000 -0.773883 -0.520118
15.250000 -0.774076 -0.525439
15.300000 -0.768408 -0.530665
15.350000 -0.757246 -0.535796
15.400000 -0.741077 -0.540836
15.450000 -0.720493 -0.545785
15.500000 -0.696181 -0.550646
15.550000 -0.668897 -0.555419
15.600000 -0.639452 -0.560107
15.650000 -0.608691 -0.564711
15.700000 -0.577473 -0.569232
15.750000 -0.546649 -0.573672
15.800000 -0.517043 -0.578032
15.850000 -0.489432 -0.582315
15.900000 -0.464530 -0.586521
15.950000 -0.442974 -0.590651
16.000000 -0.425306 -0.594708
16.050000 -0.411966 -0.598691
16.100000 -0.403280 -0.602604
16.150000 -0.399459 -0.606446
16.200000 -0.400592 -0.610220
16.250000 -0.406648 -0.613926
16.300000 -0.417480 -0.617566
16.350000 -0.432830 -0.621141
16.400000 -0.452334 -0.624652
16.450000 -0.475538 -0.628100
16.500000 -0.501907 -0.631487
16.550000 -0.530840 -0.634813
16.600000 -0.561686 -0.638079
16.650000 -0.593757 -0.641287
16.700000 -0.626352 -0.644438
16.750000 -0.658765 -0.647533
16.800000 -0.690310 -0.650572
16.850000 -0.720329 -0.653557
16.900000 -0.748216 -0.656489
16.950000 -0.773421 -0.659369
17.000000 -0.795468 -0.662197
17.050000 -0.813963 -0.664974
17.100000 -0.828602 -0.667702
17.150000 -0.839176 -0.670382
17.200000 -0.845576 -0.673013
17.250000 -0.847791 -0.675598
17.300000 -0.845907 -0.678137
17.350000 -0.840106 -0.680630
17.400000 -0.830656 -0.683079
17.450000 -0.817906 -0.685484
17.500000 -0.802276 -0.687846
17.550000 -0.784243 -0.690167
17.600000 -0.764332 -0.692446
17.650000 -0.743101 -0.694684
17.700000 -0.721128 -0.696883
17.750000 -0.698996 -0.699042
17.800000 -0.677283 -0.701163
17.850000 -0.656540 -0.703246
17.900000 -0.637289 -0.705292
17.950000 -0.620003 -0.707302
18.000000 -0.605100 -0.709276
18.050000 -0.592934 -0.711215
18.100000 -0.583786 -0.713119
18.150000 -0.577860 -0.714990
18.200000 -0.575279 -0.716827
18.250000 -0.576085 -0.718632
18.300000 -0.580237 -0.720404
18.350000 -0.587618 -0.722145
18.400000 -0.598034 -0.723855
18.450000 -0.611222 -0.725535
18.500000 -0.626860 -0.727185
18.550000 -0.644572 -0.728805
18.600000 -0.663939 -0.730397
18.650000 -0.684512 -0.731960
18.700000 -0.705820 -0.733496
18.750000 -0.727383 -0.735005
18.800000 -0.748723 -0.736486
18.850000 -0.769377 -0.737942
