fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 40.659454 38.269970
3.750000 40.240162 37.602898
3.800000 39.764153 36.947394
3.850000 39.227213 36.303243
3.900000 38.626986 35.670234
3.950000 37.963007 35.048161
4.000000 37.236702 34.436822
4.050000 36.451323 33.836019
4.100000 35.611856 33.245558
4.150000 34.724871 32.665249
4.200000 33.798343 32.094906
4.250000 32.841435 31.534346
4.300000 31.864252 30.983390
4.350000 30.877579 30.441865
4.400000 29.892594 29.909596
4.450000 28.920584 29.386418
4.500000 27.972655 28.872163
4.550000 27.059445 28.366672
4.600000 26.190863 27.869785
4.650000 25.375836 27.381346
4.700000 24.622089 26.901204
4.750000 23.935956 26.429210
4.800000 23.322227 25.965216
4.850000 22.784036 25.509080
4.900000 22.322791 25.060660
4.950000 21.938149 24.619819
5.000000 21.628032 24.186421
5.050000 21.388692 23.760333
5.100000 21.214811 23.341425
5.150000 21.099649 22.929570
5.200000 21.035217 22.524642
5.250000 21.012485 22.126519
5.300000 21.021615 21.735080
5.350000 21.052213 21.350206
5.400000 21.093590 20.971783
5.450000 21.135031 20.599695
5.500000 21.166060 20.233832
5.550000 21.176704 19.874084
5.600000 21.157733 19.520344
5.650000 21.100887 19.172506
5.700000 20.999070 18.830467
5.750000 20.846520 18.494126
5.800000 20.638943 18.163382
5.850000 20.373604 17.838139
5.900000 20.049380 17.518300
5.950000 19.666781 17.203771
6.000000 19.227913 16.894460
6.050000 18.736416 16.590276
6.100000 18.197360 16.291131
6.150000 17.617098 15.996937
6.200000 17.003098 15.707608
6.250000 16.363745 15.423060
6.300000 15.708119 15.143211
6.350000 15.045759 14.867980
6.400000 14.386419 14.597286
6.450000 13.739815 14.331053
6.500000 13.115385 14.069203
6.550000 12.522044 13.811661
6.600000 11.967968 13.558353
6.650000 11.460389 13.309207
6.700000 11.005418 13.064151
6.750000 10.607900 12.823116
6.800000 10.271296 12.586032
6.850000 9.997611 12.352832
6.900000 9.787345 12.123451
6.950000 9.639499 11.897822
7.000000 9.551600 11.675882
7.050000 9.519783 11.457569
7.100000 9.538891 11.242821
7.150000 9.602613 11.031577
7.200000 9.703654 10.823778
7.250000 9.833922 10.619366
7.300000 9.984737 10.418283
7.350000 10.147052 10.220473
7.400000 10.311682 10.025881
7.450000 10.469537 9.834452
7.500000 10.611846 9.646133
7.550000 10.730376 9.460873
7.600000 10.817632 9.278618
7.650000 10.867041 9.099319
7.700000 10.873106 8.922926
7.750000 10.831539 8.749391
7.800000 10.739356 8.578665
7.850000 10.594939 8.410701
7.900000 10.398070 8.245454
7.950000 10.149922 8.082877
8.000000 9.853014 7.922926
8.050000 9.511145 7.765557
8.100000 9.129279 7.610727
8.150000 8.713414 7.458394
8.200000 8.270422 7.308516
8.250000 7.807867 7.161052
8.300000 7.333809 7.015962
8.350000 6.856596 6.873207
8.400000 6.384652 6.732748
8.450000 5.926260 6.594547
8.500000 5.489359 6.458565
8.550000 5.081339 6.324768
8.600000 4.708864 6.193117
8.650000 4.377707 6.063578
8.700000 4.092608 5.936116
8.750000 3.857166 5.810697
8.800000 3.673754 5.687287
8.850000 3.543466 5.565852
8.900000 3.466103 5.446360
8.950000 3.440182 5.328779
9.000000 3.462986 5.213078
9.050000 3.530639 5.099226
9.100000 3.638214 4.987191
9.150000 3.779860 4.876946
9.200000 3.948961 4.768459
9.250000 4.138302 4.661702
9.300000 4.340260 4.556647
9.350000 4.546995 4.453266
9.400000 4.750648 4.351531
9.450000 4.943540 4.251416
9.500000 5.118363 4.152894
9.550000 5.268360 4.055938
9.600000 5.387489 3.960525
9.650000 5.470571 3.866627
9.700000 5.513414 3.774220
9.750000 5.512907 3.683281
9.800000 5.467091 3.593785
9.850000 5.375201 3.505709
9.900000 5.237672 3.419029
9.950000 5.056120 3.333723
