fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.550000 17.354739 16.792081
3.600000 17.128524 16.398431
3.650000 16.890943 16.013844
3.700000 16.638274 15.638101
3.750000 16.367447 15.270991
3.800000 16.076108 14.912306
3.850000 15.762670 14.561845
3.900000 15.426337 14.219412
3.950000 15.067109 13.884815
4.000000 14.685769 13.557867
4.050000 14.283851 13.238387
4.100000 13.863589 12.926197
4.150000 13.427840 12.621124
4.200000 12.980012 12.323001
4.250000 12.523955 12.031661
4.300000 12.063864 11.746946
4.350000 11.604157 11.468698
4.400000 11.149359 11.196766
4.450000 10.703984 10.931001
4.500000 10.272414 10.671257
4.550000 9.858786 10.417394
4.600000 9.466884 10.169274
4.650000 9.100048 9.926761
4.700000 8.761088 9.689726
4.750000 8.452213 9.458039
4.800000 8.174981 9.231577
4.850000 7.930266 9.010217
4.900000 7.718233 8.793840
4.950000 7.538345 8.582331
5.000000 7.389381 8.375577
5.050000 7.269467 8.173467
5.100000 7.176135 7.975893
5.150000 7.106383 7.782751
5.200000 7.056759 7.593937
5.250000 7.023449 7.409352
5.300000 7.002378 7.228899
5.350000 6.989309 7.052482
5.400000 6.979956 6.880007
5.450000 6.970085 6.711384
5.500000 6.955624 6.546526
5.550000 6.932759 6.385344
5.600000 6.898027 6.227755
5.650000 6.848399 6.073676
5.700000 6.781346 5.923027
5.750000 6.694900 5.775729
5.800000 6.587694 5.631706
5.850000 6.458987 5.490883
5.900000 6.308675 5.353187
5.950000 6.137285 5.218546
6.000000 5.945953 5.086891
6.050000 5.736383 4.958154
6.100000 5.510799 4.832269
6.150000 5.271882 4.709170
6.200000 5.022692 4.588795
6.250000 4.766586 4.471081
6.300000 4.507126 4.355968
6.350000 4.247987 4.243398
6.400000 3.992861 4.133312
6.450000 3.745359 4.025655
6.500000 3.508921 3.920372
6.550000 3.286728 3.817409
6.600000 3.081622 3.716713
6.650000 2.896040 3.618234
6.700000 2.731949 3.521921
6.750000 2.590806 3.427726
6.800000 2.473523 3.335601
6.850000 2.380447 3.245500
6.900000 2.311361 3.157377
6.950000 2.265488 3.071187
7.000000 2.241522 2.986888
7.050000 2.237664 2.904437
7.100000 2.251671 2.823792
7.150000 2.280917 2.744913
7.200000 2.322464 2.667761
7.250000 2.373140 2.592297
7.300000 2.429619 2.518483
7.350000 2.488507 2.446282
7.400000 2.546429 2.375658
7.450000 2.600112 2.306577
7.500000 2.646468 2.239004
7.550000 2.682668 2.172904
7.600000 2.706210 2.108246
7.650000 2.714981 2.044997
7.700000 2.707300 1.983127
7.750000 2.681960 1.922603
7.800000 2.638250 1.863397
7.850000 2.575970 1.805479
7.900000 2.495422 1.748821
7.950000 2.397407 1.693394
8.000000 2.283188 1.639172
8.050000 2.154458 1.586128
8.100000 2.013289 1.534235
8.150000 1.862078 1.483468
8.200000 1.703477 1.433803
8.250000 1.540323 1.385214
8.300000 1.375567 1.337679
8.350000 1.212193 1.291174
8.400000 1.053145 1.245676
8.450000 0.901247 1.201162
8.500000 0.759137 1.157613
8.550000 0.629198 1.115005
8.600000 0.513503 1.073318
8.650000 0.413762 1.032533
8.700000 0.331284 0.992629
8.750000 0.266947 0.953587
