fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 41.745858 39.989165
3.750000 41.288043 39.306662
3.800000 40.789735 38.635856
3.850000 40.246649 37.976533
3.900000 39.655970 37.328481
3.950000 39.016410 36.691495
4.000000 38.328229 36.065371
4.050000 37.593209 35.449912
4.100000 36.814593 34.844924
4.150000 35.996992 34.250215
4.200000 35.146247 33.665599
4.250000 34.269273 33.090893
4.300000 33.373864 32.525919
4.350000 32.468486 31.970500
4.400000 31.562053 31.424464
4.450000 30.663689 30.887642
4.500000 29.782487 30.359870
4.550000 28.927279 29.840984
4.600000 28.106399 29.330826
4.650000 27.327475 28.829239
4.700000 26.597232 28.336071
4.750000 25.921323 27.851172
4.800000 25.304184 27.374394
4.850000 24.748931 26.905595
4.900000 24.257279 26.444631
4.950000 23.829508 25.991365
5.000000 23.464458 25.545660
5.050000 23.159569 25.107384
5.100000 22.910948 24.676404
5.150000 22.713477 24.252594
5.200000 22.560949 23.835826
5.250000 22.446225 23.425977
5.300000 22.361430 23.022927
5.350000 22.298146 22.626556
5.400000 22.247634 22.236747
5.450000 22.201056 21.853387
5.500000 22.149696 21.476362
5.550000 22.085183 21.105563
5.600000 21.999697 20.740882
5.650000 21.886166 20.382211
5.700000 21.738435 20.029448
5.750000 21.551420 19.682490
5.800000 21.321225 19.341236
5.850000 21.045230 19.005588
5.900000 20.722150 18.675450
5.950000 20.352058 18.350726
6.000000 19.936366 18.031324
6.050000 19.477784 17.717152
6.100000 18.980234 17.408120
6.150000 18.448743 17.104141
6.200000 17.889306 16.805127
6.250000 17.308718 16.510995
6.300000 16.714400 16.221659
6.350000 16.114197 15.937040
6.400000 15.516175 15.657056
6.450000 14.928411 15.381629
6.500000 14.358784 15.110680
6.550000 13.814772 14.844135
6.600000 13.303261 14.581918
6.650000 12.830372 14.323956
6.700000 12.401309 14.070177
6.750000 12.020223 13.820510
6.800000 11.690122 13.574887
6.850000 11.412788 13.333237
6.900000 11.188747 13.095495
6.950000 11.017257 12.861595
7.000000 10.896335 12.631472
7.050000 10.822813 12.405063
7.100000 10.792430 12.182305
7.150000 10.799941 11.963137
7.200000 10.839256 11.747499
7.250000 10.903607 11.535332
7.300000 10.985716 11.326578
7.350000 11.077988 11.121179
7.400000 11.172702 10.919080
7.450000 11.262215 10.720226
7.500000 11.339146 10.524563
7.550000 11.396571 10.332037
7.600000 11.428189 10.142596
7.650000 11.428483 9.956189
7.700000 11.392849 9.772766
7.750000 11.317713 9.592277
7.800000 11.200609 9.414674
7.850000 11.040236 9.239908
7.900000 10.836484 9.067933
7.950000 10.590424 8.898703
8.000000 10.304273 8.732172
8.050000 9.981331 8.568296
8.100000 9.625884 8.407030
8.150000 9.243091 8.248333
8.200000 8.838841 8.092161
8.250000 8.419601 7.938473
8.300000 7.992241 7.787229
8.350000 7.563856 7.638387
8.400000 7.141585 7.491910
8.450000 6.732423 7.347757
8.500000 6.343042 7.205891
8.550000 5.979624 7.066274
8.600000 5.647704 6.928870
8.650000 5.352032 6.793642
8.700000 5.096452 6.660554
8.750000 4.883816 6.529573
8.800000 4.715909 6.400663
8.850000 4.593414 6.273791
8.900000 4.515901 6.148923
8.950000 4.481841 6.026027
9.000000 4.488656 5.905070
9.050000 4.532787 5.786022
9.100000 4.609793 5.668851
9.150000 4.714471 5.553527
9.200000 4.840990 5.440019
9.250000 4.983045 5.328299
9.300000 5.134022 5.218337
9.350000 5.287167 5.110105
9.400000 5.435759 5.003574
9.450000 5.573284 4.898718
9.500000 5.693594 4.795509
9.550000 5.791067 4.693921
9.600000 5.860744 4.593927
9.650000 5.898450 4.495502
9.700000 5.900896 4.398621
9.750000 5.865759 4.303258
9.800000 5.791730 4.209389
9.850000 5.678543 4.116990
9.900000 5.526975 4.026038
9.950000 5.338817 3.936509
10.000000 5.116820 3.848380
10.050000 4.864620 3.761629
10.100000 4.586637 3.676234
10.150000 4.287957 3.592173
10.200000 3.974198 3.509424
10.250000 3.651357 3.427967
10.300000 3.325661 3.347781
10.350000 3.003400 3.268846
10.400000 2.690767 3.191141
10.450000 2.393699 3.114647
10.500000 2.117727 3.039344
10.550000 1.867837 2.965214
10.600000 1.648344 2.892238
10.650000 1.462788 2.820397
10.700000 1.313843 2.749674
10.750000 1.203261 2.680050
10.800000 1.131826 2.611509
10.850000 1.099344 2.544032
10.900000 1.104653 2.477603
10.950000 1.145659 2.412205
11.000000 1.219392 2.347822
11.050000 1.322094 2.284438
11.100000 1.449314 2.222037
11.150000 1.596027 2.160602
11.200000 1.756770 2.100120
11.250000 1.925778 2.040575
11.300000 2.097141 1.981952
11.350000 2.264947 1.924236
11.400000 2.423440 1.867413
11.450000 2.567163 1.811469
11.500000 2.691094 1.756390
11.550000 2.790775 1.702163
11.600000 2.862419 1.648773
11.650000 2.903003 1.596209
11.700000 2.910340 1.544455
11.750000 2.883130 1.493501
11.800000 2.820984 1.443333
11.850000 2.724434 1.393939
11.900000 2.594904 1.345307
11.950000 2.434677 1.297424
12.000000 2.246822 1.250279
12.050000 2.035116 1.203860
12.100000 1.803941 1.158157
12.150000 1.558163 1.113157
12.200000 1.303013 1.068849
12.250000 1.043941 1.025223
12.300000 0.786481 0.982269
12.350000 0.536105 0.939974
12.400000 0.298088 0.898330
12.450000 0.077366 0.857326
12.500000 -0.121579 0.816952
12.550000 -0.294840 0.777198
12.600000 -0.439174 0.738054
12.650000 -0.552086 0.699511
12.700000 -0.631883 0.661559
12.750000 -0.677720 0.624189
12.800000 -0.689609 0.587393
12.850000 -0.668415 0.551160
12.900000 -0.615832 0.515483
12.950000 -0.534330 0.480352
13.000000 -0.427091 0.445760
13.050000 -0.297917 0.411697
13.100000 -0.151137 0.378155
13.150000 0.008514 0.345127
13.200000 0.176015 0.312604
13.250000 0.346192 0.280578
13.300000 0.513846 0.249043
13.350000 0.673892 0.217989
13.400000 0.821486 0.187410
13.450000 0.952144 0.157298
13.500000 1.061861 0.127645
13.550000 1.147202 0.098446
13.600000 1.205394 0.069692
13.650000 1.234385 0.041377
13.700000 1.232899 0.013494
13.750000 1.200455 -0.013963
13.800000 1.137382 -0.041002
13.850000 1.044801 -0.067629
13.900000 0.924590 -0.093850
13.950000 0.779333 -0.119671
14.000000 0.612248 -0.145099
14.050000 0.427102 -0.170140
14.100000 0.228106 -0.194800
14.150000 0.019812 -0.219084
14.200000 -0.193014 -0.242999
14.250000 -0.405511 -0.266550
14.300000 -0.612848 -0.289743
14.350000 -0.810349 -0.312583
14.400000 -0.993613 -0.335076
14.450000 -1.158621 -0.357227
14.500000 -1.301842 -0.379041
14.550000 -1.420314 -0.400524
14.600000 -1.511720 -0.421681
14.650000 -1.574446 -0.442517
14.700000 -1.607609 -0.463036
14.750000 -1.611085 -0.483244
14.800000 -1.585500 -0.503146
14.850000 -1.532212 -0.522745
14.900000 -1.453272 -0.542047
14.950000 -1.351366 -0.561057
15.000000 -1.229743 -0.579779
15.050000 -1.092126 -0.598216
15.100000 -0.942618 -0.616375
15.150000 -0.785590 -0.634258
15.200000 -0.625571 -0.651871
15.250000 -0.467129 -0.669217
15.300000 -0.314755 -0.686300
15.350000 -0.172749 -0.703125
15.400000 -0.045108 -0.719695
15.450000 0.064568 -0.736015
15.500000 0.153171 -0.752088
15.550000 0.218160 -0.767918
15.600000 0.257618 -0.783508
15.650000 0.270304 -0.798863
15.700000 0.255673 -0.813986
15.750000 0.213893 -0.828880
15.800000 0.145826 -0.843550
15.850000 0.053013 -0.857998
15.900000 -0.062382 -0.872228
15.950000 -0.197622 -0.886243
16.000000 -0.349474 -0.900046
16.050000 -0.514300 -0.913641
16.100000 -0.688144 -0.927032
16.150000 -0.866843 -0.940220
16.200000 -1.046129 -0.953209
16.250000 -1.221746 -0.966003
16.300000 -1.389552 -0.978604
16.350000 -1.545628 -0.991015
16.400000 -1.686375 -1.003239
16.450000 -1.808609 -1.015279
16.500000 -1.909631 -1.027137
16.550000 -1.987301 -1.038817
16.600000 -2.040086 -1.050321
16.650000 -2.067094 -1.061652
16.700000 -2.068097 -1.072813
16.750000 -2.043527 -1.083805
16.800000 -1.994463 -1.094633
16.850000 -1.922602 -1.105297
16.900000 -1.830208 -1.115801
16.950000 -1.720050 -1.126147
17.000000 -1.595331 -1.136338
17.050000 -1.459600 -1.146376
17.100000 -1.316664 -1.156262
17.150000 -1.170481 -1.166001
17.200000 -1.025065 -1.175593
17.250000 -0.884378 -1.185040
17.300000 -0.752234 -1.194347
17.350000 -0.632198 -1.203513
17.400000 -0.527497 -1.212542
17.450000 -0.440943 -1.221435
17.500000 -0.374859 -1.230195
17.550000 -0.331027 -1.238824
17.600000 -0.310646 -1.247323
17.650000 -0.314299 -1.255695
17.700000 -0.341951 -1.263941
17.750000 -0.392948 -1.272064
17.800000 -0.466040 -1.280065
17.850000 -0.559416 -1.287946
17.900000 -0.670756 -1.295709
17.950000 -0.797292 -1.303355
18.000000 -0.935881 -1.310888
18.050000 -1.083091 -1.318307
18.100000 -1.235288 -1.325616
18.150000 -1.388733 -1.332815
18.200000 -1.539676 -1.339906
18.250000 -1.684451 -1.346891
18.300000 -1.819575 -1.353772
18.350000 -1.941829 -1.360549
18.400000 -2.048345 -1.367226
18.450000 -2.136671 -1.373803
18.500000 -2.204835 -1.380281
18.550000 -2.251394 -1.386662
18.600000 -2.275461 -1.392948
18.650000 -2.276731 -1.399141
18.700000 -2.255481 -1.405240
18.750000 -2.212560 -1.411249
18.800000 -2.149364 -1.417168
18.850000 -2.067796 -1.422998
18.900000 -1.970214 -1.428741
18.950000 -1.859370 -1.434399
19.000000 -1.738333 -1.439972
19.050000 -1.610412 -1.445462
19.100000 -1.479066 -1.450870
19.150000 -1.347819 -1.456198
19.200000 -1.220166 -1.461446
19.250000 -1.099487 -1.466616
19.300000 -0.988955 -1.471708
19.350000 -0.891465 -1.476725
19.400000 -0.809554 -1.481667
19.450000 -0.745343 -1.486535
19.500000 -0.700484 -1.491331
19.550000 -0.676121 -1.496056
19.600000 -0.672863 -1.500709
19.650000 -0.690776 -1.505294
19.700000 -0.729378 -1.509810
19.750000 -0.787663 -1.514260
19.800000 -0.864121 -1.518642
19.850000 -0.956791 -1.522960
19.900000 -1.063304 -1.527213
19.950000 -1.180953 -1.531404
20.000000 -1.306760 -1.535531
20.050000 -1.437559 -1.539598
20.100000 -1.570074 -1.543603
20.150000 -1.701005 -1.547550
20.200000 -1.827113 -1.551437
20.250000 -1.945302 -1.555267
20.300000 -2.052699 -1.559040
20.350000 -2.146722 -1.562757
20.400000 -2.225150 -1.566418
20.450000 -2.286172 -1.570026
20.500000 -2.328433 -1.573579
20.550000 -2.351067 -1.577080
20.600000 -2.353715 -1.580529
20.650000 -2.336529 -1.583926
20.700000 -2.300167 -1.587273
20.750000 -2.245771 -1.590571
20.800000 -2.174939 -1.593819
20.850000 -2.089674 -1.597019
20.900000 -1.992336 -1.600172
20.950000 -1.885577 -1.603278
21.000000 -1.772271 -1.606338
21.050000 -1.655439 -1.609352
21.100000 -1.538174 -1.612322
21.150000 -1.423554 -1.615248
21.200000 -1.314572 -1.618130
21.250000 -1.214053 -1.620970
21.300000 -1.124588 -1.623768
21.350000 -1.048464 -1.626524
21.400000 -0.987614 -1.629239
21.450000 -0.943564 -1.631914
21.500000 -0.917398 -1.634549
21.550000 -0.909738 -1.637145
21.600000 -0.920723 -1.639703
21.650000 -0.950016 -1.642223
21.700000 -0.996810 -1.644706
21.750000 -1.059857 -1.647152
21.800000 -1.137499 -1.649561
21.850000 -1.227715 -1.651935
21.900000 -1.328174 -1.654274
21.950000 -1.436297 -1.656579
22.000000 -1.549327 -1.658849
22.050000 -1.664396 -1.661085
22.100000 -1.778603 -1.663289
22.150000 -1.889089 -1.665460
22.200000 -1.993105 -1.667598
22.250000 -2.088088 -1.669706
22.300000 -2.171719 -1.671782
22.350000 -2.241988 -1.673827
22.400000 -2.297236 -1.675842
22.450000 -2.336200 -1.677827
22.500000 -2.358041 -1.679783
22.550000 -2.362364 -1.681710
22.600000 -2.349222 -1.683609
22.650000 -2.319117 -1.685479
22.700000 -2.272978 -1.687322
22.750000 -2.212139 -1.689138
22.800000 -2.138302 -1.690927
22.850000 -2.053487 -1.692689
22.900000 -1.959982 -1.694426
22.950000 -1.860283 -1.696136
23.000000 -1.757026 -1.697822
23.050000 -1.652921 -1.699483
23.100000 -1.550680 -1.701119
23.150000 -1.452950 -1.702731
23.200000 -1.362243 -1.704319
23.250000 -1.280876 -1.705884
23.300000 -1.210909 -1.707425
23.350000 -1.154098 -1.708944
23.400000 -1.111850 -1.710441
23.450000 -1.085187 -1.711915
23.500000 -1.074728 -1.713368
23.550000 -1.080670 -1.714800
23.600000 -1.102791 -1.716210
23.650000 -1.140454 -1.717599
23.700000 -1.192628 -1.718968
23.750000 -1.257918 -1.720317
23.800000 -1.334601 -1.721646
23.850000 -1.420673 -1.722955
23.900000 -1.513903 -1.724245
23.950000 -1.611892 -1.725516
24.000000 -1.712133 -1.726769
24.050000 -1.812077 -1.728003
24.100000 -1.909201 -1.729218
24.150000 -2.001068 -1.730416
24.200000 -2.085394 -1.731596
24.250000 -2.160100 -1.732759
24.300000 -2.223367 -1.733905
24.350000 -2.273681 -1.735034
24.400000 -2.309868 -1.736146
24.450000 -2.331125 -1.737242
24.500000 -2.337034 -1.738322
24.550000 -2.327572 -1.739385
24.600000 -2.303110 -1.740434
24.650000 -2.264401 -1.741466
24.700000 -2.212555 -1.742484
24.750000 -2.149012 -1.743487
24.800000 -2.075501 -1.744475
24.850000 -1.993994 -1.745448
24.900000 -1.906656 -1.746407
24.950000 -1.815784 -1.747352
25.000000 -1.723752 -1.748283
25.050000 -1.632947 -1.749201
25.100000 -1.545709 -1.750104
25.150000 -1.464268 -1.750995
25.200000 -1.390696 -1.751873
25.250000 -1.326845 -1.752737
25.300000 -1.274308 -1.753589
25.350000 -1.234376 -1.754429
25.400000 -1.208010 -1.755256
25.450000 -1.195817 -1.756071
25.500000 -1.198036 -1.756874
25.550000 -1.214537 -1.757665
25.600000 -1.244822 -1.758445
25.650000 -1.288047 -1.759213
25.700000 -1.343039 -1.759970
25.750000 -1.408333 -1.760716
25.800000 -1.482209 -1.761450
25.850000 -1.562739 -1.762174
25.900000 -1.647837 -1.762888
25.950000 -1.735312 -1.763591
26.000000 -1.822929 -1.764284
26.050000 -1.908462 -1.764966
26.100000 -1.989754 -1.765639
26.150000 -2.064768 -1.766301
26.200000 -2.131644 -1.766954
26.250000 -2.188741 -1.767597
26.300000 -2.234677 -1.768231
26.350000 -2.268369 -1.768856
26.400000 -2.289049 -1.769471
26.450000 -2.296290 -1.770078
26.500000 -2.290011 -1.770675
26.550000 -2.270478 -1.771264
26.600000 -2.238292 -1.771844
26.650000 -2.194377 -1.772416
26.700000 -2.139946 -1.772979
26.750000 -2.076478 -1.773535
26.800000 -2.005671 -1.774081
26.850000 -1.929399 -1.774620
26.900000 -1.849664 -1.775151
26.950000 -1.768543 -1.775675
27.000000 -1.688135 -1.776190
27.050000 -1.610506 -1.776698
27.100000 -1.537639 -1.777199
27.150000 -1.471378 -1.777692
27.200000 -1.413390 -1.778178
27.250000 -1.365116 -1.778657
27.300000 -1.327740 -1.779129
27.350000 -1.302159 -1.779594
27.400000 -1.288962 -1.780052
27.450000 -1.288416 -1.780504
27.500000 -1.300465 -1.780949
27.550000 -1.324727 -1.781387
27.600000 -1.360514 -1.781819
27.650000 -1.406843 -1.782245
27.700000 -1.462471 -1.782664
27.750000 -1.525924 -1.783078
27.800000 -1.595537 -1.783485
27.850000 -1.669498 -1.783886
27.900000 -1.745895 -1.784282
27.950000 -1.822769 -1.784671
28.000000 -1.898158 -1.785055
28.050000 -1.970152 -1.785434
28.100000 -2.036941 -1.785807
28.150000 -2.096860 -1.786174
28.200000 -2.148429 -1.786536
28.250000 -2.190394 -1.786893
28.300000 -2.221753 -1.787244
28.350000 -2.241781 -1.787591
28.400000 -2.250051 -1.787932
28.450000 -2.246437 -1.788268
28.500000 -2.231118 -1.788600
28.550000 -2.204572 -1.788926
28.600000 -2.167561 -1.789248
28.650000 -2.121109 -1.789565
28.700000 -2.066475 -1.789878
28.750000 -2.005120 -1.790186
28.800000 -1.938666 -1.790489
28.850000 -1.868856 -1.790788
28.900000 -1.797505 -1.791083
28.950000 -1.726457 -1.791373
29.000000 -1.657537 -1.791659
29.050000 -1.592501 -1.791941
29.100000 -1.532996 -1.792219
29.150000 -1.480516 -1.792493
29.200000 -1.436363 -1.792763
29.250000 -1.401620 -1.793029
29.300000 -1.377122 -1.793291
29.350000 -1.363434 -1.793549
29.400000 -1.360842 -1.793803
29.450000 -1.369346 -1.794054
29.500000 -1.388661 -1.794301
29.550000 -1.418228 -1.794544
29.600000 -1.457230 -1.794784
29.650000 -1.504612 -1.795020
29.700000 -1.559112 -1.795253
29.750000 -1.619294 -1.795483
29.800000 -1.683587 -1.795709
29.850000 -1.750325 -1.795932
29.900000 -1.817787 -1.796152
29.950000 -1.884250 -1.796368
30.000000 -1.948024 -1.796581
30.050000 -2.007500 -1.796792
30.100000 -2.061189 -1.796999
30.150000 -2.107762 -1.797203
30.200000 -2.146078 -1.797404
30.250000 -2.175217 -1.797602
30.300000 -2.194497 -1.797797
30.350000 -2.203496 -1.797990
30.400000 -2.202056 -1.798180
30.450000 -2.190288 -1.798366
30.500000 -2.168566 -1.798551
30.550000 -2.137515 -1.798732
30.600000 -2.097997 -1.798911
30.650000 -2.051084 -1.799087
30.700000 -1.998029 -1.799261
30.750000 -1.940235 -1.799432
30.800000 -1.879217 -1.799601
30.850000 -1.816563 -1.799767
30.900000 -1.753890 -1.799931
30.950000 -1.692807 -1.800092
31.000000 -1.634872 -1.800251
31.050000 -1.581549 -1.800408
31.100000 -1.534178 -1.800563
31.150000 -1.493935 -1.800715
31.200000 -1.461808 -1.800865
31.250000 -1.438569 -1.801013
31.300000 -1.424757 -1.801158
31.350000 -1.420669 -1.801302
31.400000 -1.426348 -1.801443
31.450000 -1.441588 -1.801583
31.500000 -1.465941 -1.801720
31.550000 -1.498725 -1.801856
31.600000 -1.539050 -1.801989
31.650000 -1.585837 -1.802120
31.700000 -1.637851 -1.802250
31.750000 -1.693728 -1.802378
31.800000 -1.752016 -1.802504
31.850000 -1.811212 -1.802628
31.900000 -1.869796 -1.802750
31.950000 -1.926278 -1.802870
32.000000 -1.979228 -1.802989
32.050000 -2.027318 -1.803106
32.100000 -2.069351 -1.803221
32.150000 -2.104296 -1.803335
32.200000 -2.131307 -1.803447
32.250000 -2.149748 -1.803557
32.300000 -2.159207 -1.803666
32.350000 -2.159503 -1.803773
32.400000 -2.150692 -1.803878
32.450000 -2.133063 -1.803982
32.500000 -2.107126 -1.804085
32.550000 -2.073604 -1.804186
32.600000 -2.033407 -1.804286
32.650000 -1.987611 -1.804384
32.700000 -1.937426 -1.804480
32.750000 -1.884168 -1.804576
32.800000 -1.829224 -1.804670
32.850000 -1.774012 -1.804762
32.900000 -1.719951 -1.804853
32.950000 -1.668418 -1.804943
33.000000 -1.620719 -1.805032
33.050000 -1.578050 -1.805119
33.100000 -1.541473 -1.805205
33.150000 -1.511886 -1.805290
33.200000 -1.490002 -1.805374
33.250000 -1.476333 -1.805456
33.300000 -1.471177 -1.805537
33.350000 -1.474612 -1.805617
33.400000 -1.486494 -1.805696
