fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 37.041963 35.204357
3.650000 36.570270 34.556141
3.700000 36.058861 33.919839
3.750000 35.504748 33.295218
3.800000 34.906327 32.682048
3.850000 34.263401 32.080107
3.900000 33.577175 31.489175
3.950000 32.850204 30.909037
4.000000 32.086318 30.339484
4.050000 31.290510 29.780312
4.100000 30.468800 29.231317
4.150000 29.628067 28.692305
4.200000 28.775873 28.163082
4.250000 27.920256 27.643461
4.300000 27.069528 27.133255
4.350000 26.232057 26.632285
4.400000 25.416053 26.140374
4.450000 24.629359 25.657347
4.500000 23.879254 25.183037
4.550000 23.172271 24.717276
4.600000 22.514033 24.259901
4.650000 21.909117 23.810754
4.700000 21.360940 23.369678
4.750000 20.871681 22.936520
4.800000 20.442230 22.511131
4.850000 20.072171 22.093363
4.900000 19.759797 21.683072
4.950000 19.502162 21.280119
5.000000 19.295154 20.884365
5.050000 19.133609 20.495674
5.100000 19.011440 20.113915
5.150000 18.921793 19.738957
5.200000 18.857224 19.370673
5.250000 18.809879 19.008939
5.300000 18.771700 18.653632
5.350000 18.734614 18.304633
5.400000 18.690741 17.961824
5.450000 18.632584 17.625090
5.500000 18.553206 17.294318
5.550000 18.446405 16.969399
5.600000 18.306855 16.650223
5.650000 18.130230 16.336685
5.700000 17.913309 16.028680
5.750000 17.654036 15.726106
5.800000 17.351571 15.428864
5.850000 17.006291 15.136855
5.900000 16.619775 14.849982
5.950000 16.194752 14.568153
6.000000 15.735020 14.291274
6.050000 15.245344 14.019254
6.100000 14.731328 13.752005
6.150000 14.199262 13.489440
6.200000 13.655964 13.231473
6.250000 13.108597 12.978019
6.300000 12.564493 12.728998
6.350000 12.030957 12.484328
6.400000 11.515091 12.243931
6.450000 11.023611 12.007728
6.500000 10.562681 11.775644
6.550000 10.137761 11.547604
6.600000 9.753475 11.323534
6.650000 9.413495 11.103364
6.700000 9.120460 10.887022
6.750000 8.875910 10.674440
6.800000 8.680260 10.465549
6.850000 8.532789 10.260284
6.900000 8.431669 10.058578
6.950000 8.374015 9.860369
7.000000 8.355964 9.665592
7.050000 8.372777 9.474187
7.100000 8.418963 9.286094
7.150000 8.488416 9.101252
7.200000 8.574577 8.919604
7.250000 8.670594 8.741092
7.300000 8.769497 8.565661
7.350000 8.864373 8.393255
7.400000 8.948533 8.223821
7.450000 9.015679 8.057306
7.500000 9.060058 7.893657
7.550000 9.076600 7.732824
7.600000 9.061036 7.574757
7.650000 9.010003 7.419406
7.700000 8.921115 7.266723
7.750000 8.793018 7.116662
7.800000 8.625416 6.969175
