fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.550000 34.255368 31.607997
3.600000 34.212549 30.999485
3.650000 34.091158 30.402748
3.700000 33.881033 29.817542
3.750000 33.574683 29.243631
3.800000 33.167416 28.680785
3.850000 32.657390 28.128776
3.900000 32.045599 27.587384
3.950000 31.335787 27.056393
4.000000 30.534294 26.535590
4.050000 29.649844 26.024770
4.100000 28.693279 25.523730
4.150000 27.677242 25.032272
4.200000 26.615830 24.550203
4.250000 25.524208 24.077333
4.300000 24.418213 23.613477
4.350000 23.313943 23.158455
4.400000 22.227355 22.712088
4.450000 21.173866 22.274204
4.500000 20.167984 21.844633
4.550000 19.222960 21.423209
4.600000 18.350486 21.009770
4.650000 17.560431 20.604156
4.700000 16.860631 20.206212
4.750000 16.256736 19.815786
4.800000 15.752104 19.432728
4.850000 15.347764 19.056894
4.900000 15.042433 18.688139
4.950000 14.832588 18.326325
5.000000 14.712596 17.971315
5.050000 14.674890 17.622974
5.100000 14.710189 17.281171
5.150000 14.807761 16.945779
5.200000 14.955708 16.616671
5.250000 15.141283 16.293725
5.300000 15.351218 15.976819
5.350000 15.572053 15.665837
5.400000 15.790475 15.360661
5.450000 15.993636 15.061181
5.500000 16.169460 14.767283
5.550000 16.306918 14.478860
5.600000 16.396283 14.195806
5.650000 16.429336 13.918017
5.700000 16.399537 13.645390
5.750000 16.302151 13.377826
5.800000 16.134328 13.115226
5.850000 15.895130 12.857496
5.900000 15.585516 12.604541
5.950000 15.208280 12.356269
6.000000 14.767938 12.112590
6.050000 14.270589 11.873416
6.100000 13.723722 11.638660
6.150000 13.136009 11.408238
6.200000 12.517062 11.182066
6.250000 11.877178 10.960064
6.300000 11.227068 10.742151
6.350000 10.577582 10.528249
6.400000 9.939442 10.318283
6.450000 9.322971 10.112176
6.500000 8.737852 9.909856
6.550000 8.192896 9.711250
6.600000 7.695843 9.516288
6.650000 7.253187 9.324901
6.700000 6.870045 9.137020
6.750000 6.550050 8.952580
6.800000 6.295294 8.771514
6.850000 6.106304 8.593761
6.900000 5.982056 8.419255
6.950000 5.920035 8.247938
7.000000 5.916318 8.079747
7.050000 5.965702 7.914625
