fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
14.100000 -0.249147 -0.665243
14.150000 -0.437502 -0.687327
14.200000 -0.628681 -0.709068
14.250000 -0.818244 -0.730472
14.300000 -1.001876 -0.751542
14.350000 -1.175491 -0.772286
14.400000 -1.335333 -0.792707
14.450000 -1.478070 -0.812812
14.500000 -1.600869 -0.832604
14.550000 -1.701461 -0.852089
14.600000 -1.778187 -0.871272
14.650000 -1.830032 -0.890158
14.700000 -1.856634 -0.908751
14.750000 -1.858285 -0.927055
14.800000 -1.835909 -0.945076
14.850000 -1.791025 -0.962818
14.900000 -1.725695 -0.980285
14.950000 -1.642465 -0.997481
15.000000 -1.544283 -1.014411
15.050000 -1.434421 -1.031079
15.100000 -1.316379 -1.047489
15.150000 -1.193795 -1.063645
15.200000 -1.070343 -1.079551
15.250000 -0.949643 -1.095212
15.300000 -0.835164 -1.110630
15.350000 -0.730139 -1.125809
15.400000 -0.637489 -1.140754
15.450000 -0.559748 -1.155469
15.500000 -0.499011 -1.169955
15.550000 -0.456884 -1.184218
15.600000 -0.434456 -1.198261
15.650000 -0.432279 -1.212087
15.700000 -0.450364 -1.225700
15.750000 -0.488194 -1.239102
15.800000 -0.544745 -1.252298
15.850000 -0.618526 -1.265290
15.900000 -0.707622 -1.278082
15.950000 -0.809757 -1.290677
16.000000 -0.922357 -1.303077
16.050000 -1.042624 -1.315287
16.100000 -1.167613 -1.327308
16.150000 -1.294307 -1.339144
16.200000 -1.419704 -1.350797
16.250000 -1.540888 -1.362272
16.300000 -1.655105 -1.373569
16.350000 -1.759833 -1.384693
16.400000 -1.852838 -1.395645
16.450000 -1.932231 -1.406429
16.500000 -1.996506 -1.417047
16.550000 -2.044577 -1.427501
16.600000 -2.075789 -1.437795
16.650000 -2.089936 -1.447931
16.700000 -2.087251 -1.457910
16.750000 -2.068395 -1.467737
16.800000 -2.034427 -1.477412
16.850000 -1.986776 -1.486939
16.900000 -1.927189 -1.496319
16.950000 -1.857684 -1.505555
17.000000 -1.780495 -1.514650
17.050000 -1.698002 -1.523605
17.100000 -1.612673 -1.532422
17.150000 -1.526999 -1.541104
17.200000 -1.443425 -1.549653
17.250000 -1.364290 -1.558071
17.300000 -1.291768 -1.566359
17.350000 -1.227819 -1.574521
17.400000 -1.174134 -1.582557
17.450000 -1.132107 -1.590470
17.500000 -1.102797 -1.598262
17.550000 -1.086910 -1.605935
17.600000 -1.084790 -1.613489
17.650000 -1.096413 -1.620929
17.700000 -1.121398 -1.628254
17.750000 -1.159025 -1.635467
17.800000 -1.208256 -1.642569
17.850000 -1.267771 -1.649563
17.900000 -1.336009 -1.656450
17.950000 -1.411210 -1.663232
18.000000 -1.491469 -1.669909
18.050000 -1.574780 -1.676485
18.100000 -1.659102 -1.682960
18.150000 -1.742399 -1.689336
18.200000 -1.822704 -1.695614
18.250000 -1.898162 -1.701797
18.300000 -1.967077 -1.707884
18.350000 -2.027955 -1.713879
18.400000 -2.079535 -1.719783
18.450000 -2.120821 -1.725596
18.500000 -2.151098 -1.731320
18.550000 -2.169950 -1.736957
18.600000 -2.177261 -1.742508
18.650000 -2.173213 -1.747974
