Study Name	Cu-110
Sample Name	2024-05-01
Run Name	cooldown
Operator	Angus+Akarsh
Date	5/1/2024
Time	14:47
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	5
dt	50.000001E-12
time stamp (ms)	2:52:28 PM
	
Time	Amplitude
9.500000E-9	1.325815E-3
9.550000E-9	1.397759E-3
9.600000E-9	1.373778E-3
9.650000E-9	1.291556E-3
9.700000E-9	1.428592E-3
9.750000E-9	1.613590E-3
9.800000E-9	1.606738E-3
9.850000E-9	1.575905E-3
9.900000E-9	1.606738E-3
9.950000E-9	1.555350E-3
1.000000E-8	1.579331E-3
1.005000E-8	1.812292E-3
1.010000E-8	1.870532E-3
1.015000E-8	1.654701E-3
1.020000E-8	1.640997E-3
1.025000E-8	1.849976E-3
1.030000E-8	1.870532E-3
1.035000E-8	1.812292E-3
1.040000E-8	1.949327E-3
1.045000E-8	2.045252E-3
1.050000E-8	1.939049E-3
1.055000E-8	1.915068E-3
1.060000E-8	1.983586E-3
1.065000E-8	1.897939E-3
1.070000E-8	1.771181E-3
1.075000E-8	1.771181E-3
1.080000E-8	1.767755E-3
1.085000E-8	1.664978E-3
1.090000E-8	1.572479E-3
1.095000E-8	1.503961E-3
1.100000E-8	1.418314E-3
1.105000E-8	1.339519E-3
1.110000E-8	1.288130E-3
1.115000E-8	1.274427E-3
1.120000E-8	1.301834E-3
1.125000E-8	1.301834E-3
1.130000E-8	1.257297E-3
1.135000E-8	1.329241E-3
1.140000E-8	1.507387E-3
1.145000E-8	1.572479E-3
1.150000E-8	1.524517E-3
1.155000E-8	1.620442E-3
1.160000E-8	1.846550E-3
1.165000E-8	1.980160E-3
1.170000E-8	2.062382E-3
1.175000E-8	2.216547E-3
1.180000E-8	2.333027E-3
1.185000E-8	2.363860E-3
1.190000E-8	2.487192E-3
1.195000E-8	2.802374E-3
1.200000E-8	3.288850E-3
1.205000E-8	4.049398E-3
1.210000E-8	5.258737E-3
1.215000E-8	6.995663E-3
1.220000E-8	9.362953E-3
1.225000E-8	1.252162E-2
1.230000E-8	1.656760E-2
1.235000E-8	2.148375E-2
1.240000E-8	2.717416E-2
1.245000E-8	3.354974E-2
1.250000E-8	4.048716E-2
1.255000E-8	4.778088E-2
1.260000E-8	5.517396E-2
1.265000E-8	6.257388E-2
1.270000E-8	6.997723E-2
1.275000E-8	7.721613E-2
1.280000E-8	8.408162E-2
1.285000E-8	9.055312E-2
1.290000E-8	9.664093E-2
1.295000E-8	1.021600E-1
1.300000E-8	1.069631E-1
1.305000E-8	1.111016E-1
1.310000E-8	1.145583E-1
1.315000E-8	1.172065E-1
1.320000E-8	1.190017E-1
1.325000E-8	1.199473E-1
1.330000E-8	1.200672E-1
1.335000E-8	1.193477E-1
1.340000E-8	1.177444E-1
1.345000E-8	1.152195E-1
1.350000E-8	1.119170E-1
1.355000E-8	1.079943E-1
1.360000E-8	1.035030E-1
1.365000E-8	9.853202E-2
1.370000E-8	9.328013E-2
1.375000E-8	8.780213E-2
1.380000E-8	8.212201E-2
1.385000E-8	7.642475E-2
1.390000E-8	7.087138E-2
1.395000E-8	6.539681E-2
1.400000E-8	6.006270E-2
1.405000E-8	5.511229E-2
1.410000E-8	5.061752E-2
1.415000E-8	4.654756E-2
1.420000E-8	4.304973E-2
1.425000E-8	4.027133E-2
1.430000E-8	3.816099E-2
1.435000E-8	3.671526E-2
1.440000E-8	3.599925E-2
1.445000E-8	3.594786E-2
1.450000E-8	3.641378E-2
1.455000E-8	3.733877E-2
1.460000E-8	3.868515E-2
1.465000E-8	4.031244E-2
1.470000E-8	4.208020E-2
1.475000E-8	4.385824E-2
1.480000E-8	4.557461E-2
1.485000E-8	4.715737E-2
1.490000E-8	4.851745E-2
1.495000E-8	4.960003E-2
1.500000E-8	5.037428E-2
1.505000E-8	5.080252E-2
1.510000E-8	5.086761E-2
1.515000E-8	5.063123E-2
1.520000E-8	5.007281E-2
1.525000E-8	4.913754E-2
1.530000E-8	4.784255E-2
1.535000E-8	4.628035E-2
1.540000E-8	4.444749E-2
1.545000E-8	4.233715E-2
1.550000E-8	3.997671E-2
1.555000E-8	3.744155E-2
1.560000E-8	3.478991E-2
1.565000E-8	3.205605E-2
1.570000E-8	2.926052E-2
1.575000E-8	2.647185E-2
1.580000E-8	2.384419E-2
1.585000E-8	2.143922E-2
1.590000E-8	1.929118E-2
1.595000E-8	1.749259E-2
1.600000E-8	1.613594E-2
1.605000E-8	1.520410E-2
1.610000E-8	1.467308E-2
1.615000E-8	1.455660E-2
1.620000E-8	1.481012E-2
1.625000E-8	1.533085E-2
1.630000E-8	1.608798E-2
1.635000E-8	1.705408E-2
1.640000E-8	1.809897E-2
1.645000E-8	1.911646E-2
