fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 17.047304 16.261978
3.750000 16.917032 15.907330
3.800000 16.766732 15.560241
3.850000 16.591792 15.220541
3.900000 16.388446 14.888067
3.950000 16.153845 14.562657
4.000000 15.886118 14.244154
4.050000 15.584396 13.932405
4.100000 15.248819 13.627261
4.150000 14.880512 13.328576
4.200000 14.481545 13.036206
4.250000 14.054867 12.750013
4.300000 13.604212 12.469861
4.350000 13.134006 12.195616
4.400000 12.649233 11.927149
4.450000 12.155316 11.664333
4.500000 11.657964 11.407044
4.550000 11.163036 11.155161
4.600000 10.676385 10.908567
4.650000 10.203717 10.667145
4.700000 9.750450 10.430783
4.750000 9.321581 10.199371
4.800000 8.921567 9.972802
4.850000 8.554224 9.750969
4.900000 8.222636 9.533770
4.950000 7.929086 9.321105
5.000000 7.675014 9.112876
5.050000 7.460984 8.908987
5.100000 7.286681 8.709344
5.150000 7.150932 8.513855
5.200000 7.051738 8.322431
5.250000 6.986336 8.134984
5.300000 6.951268 7.951429
5.350000 6.942482 7.771683
5.400000 6.955428 7.595663
5.450000 6.985176 7.423290
5.500000 7.026543 7.254486
5.550000 7.074215 7.089174
5.600000 7.122883 6.927280
5.650000 7.167363 6.768730
5.700000 7.202728 6.613454
5.750000 7.224415 6.461381
5.800000 7.228336 6.312444
5.850000 7.210965 6.166576
5.900000 7.169420 6.023711
5.950000 7.101518 5.883786
6.000000 7.005824 5.746739
6.050000 6.881667 5.612508
6.100000 6.729152 5.481034
6.150000 6.549142 5.352259
6.200000 6.343224 5.226125
6.250000 6.113666 5.102577
6.300000 5.863344 4.981560
6.350000 5.595665 4.863021
6.400000 5.314479 4.746908
6.450000 5.023973 4.633170
6.500000 4.728565 4.521756
6.550000 4.432792 4.412619
6.600000 4.141199 4.305709
6.650000 3.858220 4.200981
6.700000 3.588078 4.098389
6.750000 3.334678 3.997888
6.800000 3.101518 3.899434
6.850000 2.891605 3.802985
6.900000 2.707388 3.708498
6.950000 2.550707 3.615932
7.000000 2.422752 3.525249
7.050000 2.324042 3.436407
7.100000 2.254420 3.349370
7.150000 2.213067 3.264098
7.200000 2.198528 3.180557
7.250000 2.208752 3.098709
7.300000 2.241156 3.018520
7.350000 2.292688 2.939955
7.400000 2.359908 2.862980
7.450000 2.439080 2.787563
7.500000 2.526260 2.713671
7.550000 2.617401 2.641273
7.600000 2.708447 2.570337
7.650000 2.795433 2.500834
7.700000 2.874582 2.432734
7.750000 2.942390 2.366007
7.800000 2.995712 2.300627
7.850000 3.031830 2.236564
7.900000 3.048512 2.173792
7.950000 3.044064 2.112284
8.000000 3.017361 2.052014
8.050000 2.967864 1.992957
8.100000 2.895630 1.935087
8.150000 2.801298 1.878381
8.200000 2.686067 1.822815
8.250000 2.551660 1.768364
8.300000 2.400269 1.715006
8.350000 2.234504 1.662720
8.400000 2.057315 1.611482
8.450000 1.871918 1.561272
8.500000 1.681713 1.512067
8.550000 1.490198 1.463849
8.600000 1.300881 1.416597
8.650000 1.117195 1.370290
8.700000 0.942412 1.324910
8.750000 0.779569 1.280437
8.800000 0.631392 1.236854
8.850000 0.500236 1.194142
8.900000 0.388030 1.152283
8.950000 0.296239 1.111260
9.000000 0.225829 1.071056
9.050000 0.177250 1.031655
9.100000 0.150435 0.993039
9.150000 0.144806 0.955194
9.200000 0.159293 0.918102
9.250000 0.192368 0.881750
9.300000 0.242089 0.846122
9.350000 0.306147 0.811204
9.400000 0.381934 0.776980
9.450000 0.466607 0.743437
9.500000 0.557157 0.710562
9.550000 0.650490 0.678340
9.600000 0.743500 0.646758
9.650000 0.833145 0.615804
9.700000 0.916520 0.585465
9.750000 0.990927 0.555728
9.800000 1.053937 0.526582
