fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.700000 18.080933 17.303764
3.750000 17.880648 16.934522
3.800000 17.662919 16.573055
3.850000 17.424289 16.219192
3.900000 17.162043 15.872764
3.950000 16.874268 15.533608
4.000000 16.559885 15.201565
4.050000 16.218662 14.876478
4.100000 15.851208 14.558194
4.150000 15.458944 14.246566
4.200000 15.044057 13.941447
4.250000 14.609433 13.642696
4.300000 14.158575 13.350174
4.350000 13.695505 13.063745
4.400000 13.224658 12.783278
4.450000 12.750761 12.508642
4.500000 12.278715 12.239711
4.550000 11.813461 11.976363
4.600000 11.359862 11.718475
4.650000 10.922576 11.465931
4.700000 10.505941 11.218616
4.750000 10.113868 10.976416
4.800000 9.749748 10.739221
4.850000 9.416367 10.506925
4.900000 9.115844 10.279422
4.950000 8.849583 10.056610
5.000000 8.618242 9.838387
5.050000 8.421722 9.624657
5.100000 8.259176 9.415322
5.150000 8.129036 9.210290
5.200000 8.029057 9.009469
5.250000 7.956376 8.812769
5.300000 7.907588 8.620102
5.350000 7.878835 8.431383
5.400000 7.865904 8.246528
5.450000 7.864331 8.065456
5.500000 7.869513 7.888085
5.550000 7.876822 7.714339
5.600000 7.881720 7.544140
5.650000 7.879861 7.377413
5.700000 7.867205 7.214086
5.750000 7.840102 7.054087
5.800000 7.795386 6.897345
5.850000 7.730440 6.743793
5.900000 7.643256 6.593362
5.950000 7.532475 6.445989
6.000000 7.397413 6.301609
6.050000 7.238069 6.160158
6.100000 7.055116 6.021577
6.150000 6.849876 5.885804
6.200000 6.624277 5.752781
6.250000 6.380801 5.622451
6.300000 6.122410 5.494758
6.350000 5.852472 5.369647
6.400000 5.574668 5.247063
6.450000 5.292897 5.126956
6.500000 5.011176 5.009272
6.550000 4.733539 4.893962
6.600000 4.463934 4.780976
6.650000 4.206128 4.670267
6.700000 3.963611 4.561787
6.750000 3.739513 4.455490
6.800000 3.536529 4.351331
6.850000 3.356857 4.249265
6.900000 3.202148 4.149251
6.950000 3.073465 4.051244
7.000000 2.971270 3.955205
7.050000 2.895411 3.861091
7.100000 2.845136 3.768865
7.150000 2.819115 3.678487
7.200000 2.815476 3.589918
7.250000 2.831862 3.503122
7.300000 2.865486 3.418063
7.350000 2.913212 3.334705
7.400000 2.971627 3.253012
7.450000 3.037136 3.172952
7.500000 3.106044 3.094489
7.550000 3.174653 3.017593
7.600000 3.239351 2.942230
7.650000 3.296699 2.868370
7.700000 3.343516 2.795982
7.750000 3.376951 2.725036
7.800000 3.394551 2.655502
7.850000 3.394315 2.587351
7.900000 3.374742 2.520556
7.950000 3.334856 2.455089
8.000000 3.274231 2.390923
8.050000 3.192987 2.328032
8.100000 3.091788 2.266389
8.150000 2.971814 2.205969
8.200000 2.834729 2.146748
8.250000 2.682630 2.088701
8.300000 2.517994 2.031804
8.350000 2.343610 1.976035
8.400000 2.162507 1.921370
8.450000 1.977874 1.867787
8.500000 1.792982 1.815264
8.550000 1.611097 1.763779
8.600000 1.435406 1.713313
8.650000 1.268928 1.663844
8.700000 1.114453 1.615352
8.750000 0.974463 1.567817
8.800000 0.851083 1.521220
8.850000 0.746025 1.475543
8.900000 0.660553 1.430767
8.950000 0.595457 1.386873
9.000000 0.551034 1.343844
9.050000 0.527088 1.301663
9.100000 0.522942 1.260312
9.150000 0.537456 1.219775
9.200000 0.569059 1.180036
9.250000 0.615796 1.141078
9.300000 0.675377 1.102887
9.350000 0.745238 1.065445
9.400000 0.822609 1.028740
9.450000 0.904577 0.992755
9.500000 0.988171 0.957477
9.550000 1.070424 0.922891
9.600000 1.148453 0.888983
9.650000 1.219528 0.855740
9.700000 1.281137 0.823149
9.750000 1.331043 0.791197
9.800000 1.367342 0.759871
9.850000 1.388500 0.729158
9.900000 1.393391 0.699047
9.950000 1.381316 0.669524
10.000000 1.352021 0.640579
10.050000 1.305693 0.612201
10.100000 1.242954 0.584377
10.150000 1.164839 0.557097
10.200000 1.072765 0.530350
10.250000 0.968493 0.504125
10.300000 0.854079 0.478412
10.350000 0.731823 0.453201
10.400000 0.604205 0.428483
10.450000 0.473824 0.404246
10.500000 0.343331 0.380482
10.550000 0.215364 0.357181
10.600000 0.092481 0.334334
10.650000 -0.022901 0.311932
10.700000 -0.128566 0.289967
10.750000 -0.222552 0.268429
