fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 38.005736 36.324926
3.650000 37.645258 35.656937
3.700000 37.242467 35.000965
3.750000 36.790906 34.356779
3.800000 36.285753 33.724152
3.850000 35.723931 33.102863
3.900000 35.104170 32.492694
3.950000 34.427018 31.893434
4.000000 33.694812 31.304873
4.050000 32.911596 30.726810
4.100000 32.082995 30.159043
4.150000 31.216056 29.601379
4.200000 30.319042 29.053625
4.250000 29.401206 28.515595
4.300000 28.472533 27.987104
4.350000 27.543471 27.467975
4.400000 26.624650 26.958030
4.450000 25.726593 26.457097
4.500000 24.859441 25.965008
4.550000 24.032686 25.481597
4.600000 23.254919 25.006702
4.650000 22.533612 24.540164
4.700000 21.874923 24.081829
4.750000 21.283543 23.631542
4.800000 20.762579 23.189156
4.850000 20.313478 22.754524
4.900000 19.936002 22.327501
4.950000 19.628240 21.907949
5.000000 19.386666 21.495729
5.050000 19.206244 21.090706
5.100000 19.080561 20.692747
5.150000 19.002008 20.301724
5.200000 18.961978 19.917508
5.250000 18.951102 19.539975
5.300000 18.959492 19.169004
5.350000 18.977003 18.804474
5.400000 18.993495 18.446267
5.450000 18.999098 18.094270
5.500000 18.984463 17.748367
5.550000 18.941001 17.408450
5.600000 18.861101 17.074409
5.650000 18.738314 16.746139
5.700000 18.567518 16.423533
5.750000 18.345031 16.106491
5.800000 18.068702 15.794912
5.850000 17.737948 15.488697
5.900000 17.353757 15.187750
5.950000 16.918648 14.891976
6.000000 16.436590 14.601282
6.050000 15.912887 14.315576
6.100000 15.354026 14.034771
6.150000 14.767494 13.758777
6.200000 14.161577 13.487509
6.250000 13.545128 13.220882
6.300000 12.927336 12.958814
6.350000 12.317477 12.701223
6.400000 11.724667 12.448030
6.450000 11.157627 12.199156
6.500000 10.624450 11.954525
6.550000 10.132396 11.714061
6.600000 9.687705 11.477691
6.650000 9.295439 11.245343
6.700000 8.959355 11.016944
6.750000 8.681815 10.792425
6.800000 8.463736 10.571717
6.850000 8.304570 10.354755
6.900000 8.202329 10.141470
6.950000 8.153649 9.931799
7.000000 8.153880 9.725679
7.050000 8.197223 9.523046
7.100000 8.276884 9.323840
7.150000 8.385259 9.128000
7.200000 8.514137 8.935468
7.250000 8.654918 8.746185
7.300000 8.798839 8.560095
7.350000 8.937207 8.377142
7.400000 9.061617 8.197271
7.450000 9.164177 8.020428
7.500000 9.237702 7.846562
7.550000 9.275900 7.675619
7.600000 9.273529 7.507549
7.650000 9.226521 7.342302
7.700000 9.132083 7.179829
7.750000 8.988758 7.020082
7.800000 8.796448 6.863014
7.850000 8.556413 6.708578
7.900000 8.271221 6.556728
7.950000 7.944671 6.407421
8.000000 7.581684 6.260611
8.050000 7.188165 6.116256
8.100000 6.770837 5.974314
8.150000 6.337064 5.834743
8.200000 5.894646 5.697501
8.250000 5.451614 5.562550
8.300000 5.016015 5.429849
8.350000 4.595703 5.299360
8.400000 4.198130 5.171045
8.450000 3.830156 5.044867
8.500000 3.497872 4.920788
8.550000 3.206444 4.798773
8.600000 2.959986 4.678787
8.650000 2.761456 4.560795
8.700000 2.612588 4.444762
8.750000 2.513857 4.330656
8.800000 2.464470 4.218443
8.850000 2.462399 4.108090
8.900000 2.504441 3.999568
8.950000 2.586311 3.892843
9.000000 2.702758 3.787886
9.050000 2.847715 3.684666
9.100000 3.014456 3.583154
9.150000 3.195781 3.483321
9.200000 3.384204 3.385138
9.250000 3.572154 3.288578
9.300000 3.752171 3.193612
9.350000 3.917098 3.100213
9.400000 4.060270 3.008356
9.450000 4.175678 2.918014
9.500000 4.258129 2.829162
9.550000 4.303365 2.741773
9.600000 4.308177 2.655824
9.650000 4.270474 2.571290
9.700000 4.189330 2.488148
9.750000 4.065002 2.406373
9.800000 3.898909 2.325943
9.850000 3.693591 2.246834
9.900000 3.452630 2.169026
9.950000 3.180548 2.092495
10.000000 2.882683 2.017221
10.050000 2.565041 1.943182
10.100000 2.234135 1.870358
10.150000 1.896808 1.798728
10.200000 1.560052 1.728271
10.250000 1.230825 1.658969
10.300000 0.915863 1.590802
10.350000 0.621513 1.523751
10.400000 0.353563 1.457798
10.450000 0.117094 1.392923
10.500000 -0.083643 1.329109
10.550000 -0.245337 1.266338
10.600000 -0.365699 1.204592
10.650000 -0.443507 1.143856
10.700000 -0.478639 1.084111
10.750000 -0.472065 1.025341
10.800000 -0.425813 0.967530
10.850000 -0.342909 0.910662
10.900000 -0.227293 0.854720
