fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.600000 40.049570 37.337399
3.650000 40.417712 36.663680
3.700000 40.683306 36.002125
3.750000 40.825153 35.352499
3.800000 40.825875 34.714571
3.850000 40.672266 34.088118
3.900000 40.355540 33.472918
3.950000 39.871453 32.868756
4.000000 39.220317 32.275421
4.050000 38.406897 31.692706
4.100000 37.440195 31.120409
4.150000 36.333140 30.558331
4.200000 35.102176 30.006278
4.250000 33.766780 29.464061
4.300000 32.348907 28.931493
4.350000 30.872385 28.408393
4.400000 29.362280 27.894580
4.450000 27.844234 27.389882
4.500000 26.343808 26.894126
4.550000 24.885843 26.407144
4.600000 23.493841 25.928773
4.650000 22.189402 25.458851
4.700000 20.991715 24.997220
4.750000 19.917124 24.543726
4.800000 18.978767 24.098218
4.850000 18.186306 23.660547
4.900000 17.545755 23.230567
4.950000 17.059392 22.808136
5.000000 16.725776 22.393115
5.050000 16.539852 21.985366
5.100000 16.493147 21.584756
5.150000 16.574044 21.191152
5.200000 16.768134 20.804427
5.250000 17.058631 20.424453
5.300000 17.426832 20.051106
5.350000 17.852623 19.684266
5.400000 18.315011 19.323813
5.450000 18.792657 18.969631
5.500000 19.264424 18.621604
5.550000 19.709892 18.279622
5.600000 20.109857 17.943573
5.650000 20.446783 17.613351
5.700000 20.705210 17.288849
5.750000 20.872091 16.969963
5.800000 20.937076 16.656592
5.850000 20.892709 16.348636
5.900000 20.734558 16.045998
5.950000 20.461266 15.748581
6.000000 20.074516 15.456291
6.050000 19.578932 15.169035
6.100000 18.981900 14.886725
6.150000 18.293323 14.609269
6.200000 17.525328 14.336583
6.250000 16.691910 14.068579
6.300000 15.808541 13.805174
6.350000 14.891758 13.546286
6.400000 13.958720 13.291834
6.450000 13.026761 13.041740
6.500000 12.112960 12.795924
6.550000 11.233704 12.554312
6.600000 10.404299 12.316829
6.650000 9.638601 12.083400
6.700000 8.948696 11.853954
6.750000 8.344631 11.628421
6.800000 7.834200 11.406731
6.850000 7.422795 11.188816
6.900000 7.113312 10.974610
6.950000 6.906128 10.764046
7.000000 6.799141 10.557061
7.050000 6.787867 10.353591
7.100000 6.865604 10.153575
7.150000 7.023635 9.956952
7.200000 7.251490 9.763661
7.250000 7.537239 9.573646
7.300000 7.867820 9.386847
7.350000 8.229385 9.203209
7.400000 8.607666 9.022677
7.450000 8.988333 8.845195
7.500000 9.357359 8.670711
7.550000 9.701359 8.499172
7.600000 10.007917 8.330527
7.650000 10.265870 8.164726
7.700000 10.465568 8.001718
7.750000 10.599082 7.841455
7.800000 10.660367 7.683890
7.850000 10.645373 7.528975
7.900000 10.552112 7.376665
7.950000 10.380659 7.226914
8.000000 10.133113 7.079678
8.050000 9.813502 6.934913
8.100000 9.427639 6.792576
8.150000 8.982947 6.652626
8.200000 8.488233 6.515021
8.250000 7.953443 6.379721
8.300000 7.389388 6.246685
8.350000 6.807456 6.115876
8.400000 6.219313 5.987253
8.450000 5.636602 5.860781
