fit_time[ns] Functional_fit[mV] Thermal_fit[mV]
3.550000 39.447536 38.091406
3.600000 39.122903 37.398254
3.650000 38.763191 36.717636
3.700000 38.360108 36.049309
3.750000 37.906879 35.393035
3.800000 37.398403 34.748583
3.850000 36.831370 34.115723
3.900000 36.204327 33.494235
3.950000 35.517701 32.883898
4.000000 34.773765 32.284500
4.050000 33.976559 31.695832
4.100000 33.131774 31.117689
4.150000 32.246578 30.549871
4.200000 31.329417 29.992181
4.250000 30.389781 29.444428
4.300000 29.437943 28.906423
4.350000 28.484678 28.377981
4.400000 27.540978 27.858923
4.450000 26.617754 27.349072
4.500000 25.725549 26.848254
4.550000 24.874262 26.356301
4.600000 24.072886 25.873045
4.650000 23.329279 25.398324
4.700000 22.649960 24.931978
4.750000 22.039943 24.473852
4.800000 21.502615 24.023792
4.850000 21.039654 23.581649
4.900000 20.650993 23.147274
4.950000 20.334828 22.720525
5.000000 20.087678 22.301260
5.050000 19.904480 21.889341
5.100000 19.778730 21.484631
5.150000 19.702658 21.087000
5.200000 19.667440 20.696315
5.250000 19.663427 20.312449
5.300000 19.680405 19.935278
5.350000 19.707857 19.564678
5.400000 19.735241 19.200529
5.450000 19.752259 18.842714
5.500000 19.749124 18.491117
5.550000 19.716805 18.145624
5.600000 19.647261 17.806124
5.650000 19.533634 17.472508
5.700000 19.370420 17.144670
5.750000 19.153603 16.822504
5.800000 18.880743 16.505908
5.850000 18.551028 16.194782
5.900000 18.165278 15.889025
5.950000 17.725916 15.588543
6.000000 17.236884 15.293238
6.050000 16.703531 15.003018
6.100000 16.132461 14.717792
6.150000 15.531347 14.437470
6.200000 14.908723 14.161964
6.250000 14.273752 13.891187
6.300000 13.635978 13.625056
6.350000 13.005077 13.363486
6.400000 12.390597 13.106397
6.450000 11.801706 12.853708
6.500000 11.246959 12.605341
6.550000 10.734071 12.361219
6.600000 10.269724 12.121266
6.650000 9.859393 11.885409
6.700000 9.507213 11.653575
6.750000 9.215879 11.425692
6.800000 8.986578 11.201690
6.850000 8.818976 10.981501
6.900000 8.711226 10.765058
6.950000 8.660032 10.552293
7.000000 8.660741 10.343143
7.050000 8.707471 10.137544
7.100000 8.793274 9.935432
7.150000 8.910319 9.736747
7.200000 9.050108 9.541428
7.250000 9.203694 9.349416
7.300000 9.361921 9.160654
7.350000 9.515660 8.975084
7.400000 9.656048 8.792650
7.450000 9.774715 8.613298
7.500000 9.863997 8.436973
7.550000 9.917132 8.263623
7.600000 9.928425 8.093196
7.650000 9.893394 7.925641
7.700000 9.808870 7.760907
7.750000 9.673075 7.598946
7.800000 9.485656 7.439709
7.850000 9.247680 7.283150
7.900000 8.961599 7.129220
7.950000 8.631174 6.977876
8.000000 8.261363 6.829072
8.050000 7.858187 6.682764
8.100000 7.428561 6.538909
8.150000 6.980109 6.397464
8.200000 6.520954 6.258388
8.250000 6.059506 6.121640
8.300000 5.604236 5.987179
8.350000 5.163456 5.854967
8.400000 4.745100 5.724964
8.450000 4.356519 5.597133
8.500000 4.004292 5.471436
8.550000 3.694059 5.347836
8.600000 3.430381 5.226297
8.650000 3.216621 5.106784
8.700000 3.054874 4.989263
8.750000 2.945909 4.873699
8.800000 2.889167 4.760058
8.850000 2.882776 4.648307
8.900000 2.923615 4.538415
8.950000 3.007399 4.430349
9.000000 3.128798 4.324079
9.050000 3.281587 4.219573
9.100000 3.458809 4.116802
9.150000 3.652963 4.015735
9.200000 3.856205 3.916344
9.250000 4.060551 3.818601
9.300000 4.258087 3.722477
9.350000 4.441177 3.627944
9.400000 4.602654 3.534977
9.450000 4.736009 3.443547
9.500000 4.835553 3.353629
9.550000 4.896559 3.265198
9.600000 4.915379 3.178227
9.650000 4.889531 3.092693
9.700000 4.817752 3.008571
9.750000 4.700028 2.925838
9.800000 4.537580 2.844468
9.850000 4.332824 2.764441
9.900000 4.089299 2.685732
9.950000 3.811567 2.608320
10.000000 3.505087 2.532182
10.050000 3.176061 2.457298
10.100000 2.831271 2.383646
10.150000 2.477897 2.311205
10.200000 2.123323 2.239955
10.250000 1.774945 2.169876
10.300000 1.439975 2.100948
10.350000 1.125258 2.033152
10.400000 0.837087 1.966469
10.450000 0.581052 1.900880
10.500000 0.361891 1.836367
10.550000 0.183374 1.772911
10.600000 0.048212 1.710496
10.650000 -0.042008 1.649103
10.700000 -0.086858 1.588716
10.750000 -0.087070 1.529317
10.800000 -0.044511 1.470890
10.850000 0.037874 1.413419
10.900000 0.156144 1.356888
10.950000 0.305475 1.301281
11.000000 0.480289 1.246582
11.050000 0.674405 1.192777
11.100000 0.881206 1.139851
11.150000 1.093810 1.087789
11.200000 1.305259 1.036576
11.250000 1.508691 0.986199
11.300000 1.697527 0.936643
11.350000 1.865635 0.887895
11.400000 2.007489 0.839941
11.450000 2.118307 0.792768
11.500000 2.194173 0.746364
11.550000 2.232131 0.700715
11.600000 2.230254 0.655809
11.650000 2.187690 0.611634
11.700000 2.104674 0.568177
11.750000 1.982515 0.525426
11.800000 1.823554 0.483371
11.850000 1.631092 0.441998
11.900000 1.409305 0.401298
11.950000 1.163119 0.361258
12.000000 0.898083 0.321869
12.050000 0.620213 0.283118
12.100000 0.335839 0.244996
12.150000 0.051431 0.207492
12.200000 -0.226568 0.170597
12.250000 -0.491914 0.134299
12.300000 -0.738718 0.098589
12.350000 -0.961602 0.063458
12.400000 -1.155837 0.028895
12.450000 -1.317457 -0.005108
12.500000 -1.443363 -0.038560
12.550000 -1.531396 -0.071472
12.600000 -1.580385 -0.103851
12.650000 -1.590174 -0.135707
12.700000 -1.561619 -0.167048
12.750000 -1.496556 -0.197882
12.800000 -1.397750 -0.228219
12.850000 -1.268813 -0.258065
12.900000 -1.114108 -0.287430
12.950000 -0.938626 -0.316321
13.000000 -0.747853 -0.344745
13.050000 -0.547625 -0.372711
13.100000 -0.343973 -0.400226
13.150000 -0.142961 -0.427297
13.200000 0.049469 -0.453932
13.250000 0.227651 -0.480138
13.300000 0.386344 -0.505922
13.350000 0.520862 -0.531291
13.400000 0.627194 -0.556251
13.450000 0.702105 -0.580809
13.500000 0.743212 -0.604972
13.550000 0.749044 -0.628746
13.600000 0.719071 -0.652138
13.650000 0.653710 -0.675154
13.700000 0.554311 -0.697800
13.750000 0.423113 -0.720082
13.800000 0.263180 -0.742006
13.850000 0.078311 -0.763578
13.900000 -0.127056 -0.784803
13.950000 -0.347974 -0.805688
14.000000 -0.579113 -0.826237
14.050000 -0.814904 -0.846457
14.100000 -1.049690 -0.866352
14.150000 -1.277867 -0.885929
14.200000 -1.494038 -0.905191
