target_depth[A],vacancies_ion,vacancies_recoil,depth[um],vacancies_total,dpa
16500.0,0.0479905,1.23745,1.65,1.2854405,0.03366760060215546
16800.0,0.0468558,1.23022,1.68,1.2770758,0.03344851665485736
17100.0,0.0457459,1.19323,1.71,1.2389759,0.032450623546477736
17400.0,0.0448849,1.1802,1.74,1.2250849,0.03208679757400795
17700.0,0.0434544,1.12739,1.77,1.1708443999999998,0.030666158119703208
18000.0,0.0419184,1.09863,1.8,1.1405484,0.029872660771640115
18300.0,0.0405677,1.0673,1.83,1.1078677,0.02901670457996974
18600.0,0.0387506,1.03178,1.86,1.0705305999999999,0.02803879033933181
18900.0,0.037018,0.965997,1.89,1.003015,0.02627045625057789
19200.0,0.0352437,0.930321,1.92,0.9655646999999999,0.025289577133395177
19500.0,0.0334974,0.875652,1.95,0.9091494,0.023811976429005687
19800.0,0.0308958,0.810555,1.98,0.8414508,0.022038849297780955
20100.0,0.0288504,0.760842,2.01,0.7896924000000001,0.020683219738103477
20400.0,0.0266201,0.68773,2.04,0.7143501,0.018709892723085833
20700.0,0.0245103,0.636536,2.07,0.6610463,0.017313786836444505
21000.0,0.0220592,0.565291,2.1,0.5873501999999999,0.015383576250472998
21300.0,0.0199942,0.511909,2.13,0.5319031999999999,0.013931336764796517
21600.0,0.0179427,0.463604,2.16,0.4815467,0.012612425053424083
21900.0,0.0158628,0.405165,2.19,0.4210278,0.011027344955137318
22200.0,0.0140501,0.35358,2.22,0.3676301,0.009628779687687198
22500.0,0.0123631,0.306954,2.25,0.3193171,0.00836339028390543
22800.0,0.0106048,0.265004,2.28,0.27560880000000004,0.007218604829114492
23100.0,0.00899797,0.219314,2.31,0.22831197,0.005979830430619933
23400.0,0.00746243,0.181363,2.34,0.18882543,0.004945619156056048
23700.0,0.0060339,0.147908,2.37,0.15394190000000002,0.004031967566866733
24000.0,0.0049097,0.116247,2.4,0.1211567,0.003173274364605106
24300.0,0.00391739,0.0939316,2.43,0.09784899,0.002562810736587422
24600.0,0.00305897,0.074062,2.46,0.07712097,0.002019913030599871
24900.0,0.00233057,0.0535944,2.49,0.05592497,0.001464758231631512
25200.0,0.00179671,0.0411221,2.52,0.04291881,0.001124107536210191
25500.0,0.00135293,0.0316619,2.55,0.03301483,0.0008647075538603774
25800.0,0.000976381,0.021969,2.58,0.022945380999999997,0.000600973692031865
26100.0,0.000691251,0.0152346,2.61,0.015925850999999998,0.0004171217498728554
26400.0,0.000478737,0.0106422,2.64,0.011120937,0.00029127389812109777
26700.0,0.000340606,0.00728744,2.67,0.007628046,0.00019978988222548583
27000.0,0.000200074,0.0041828,2.7,0.004382874,0.00011479399577154412
27300.0,0.000148033,0.00336939,2.73,0.003517423,9.212654550158915e-05
27600.0,8.75364e-05,0.00174771,2.76,0.0018352464,4.806783573548807e-05
27900.0,4.31006e-05,0.000968215,2.79,0.0010113156,2.6487861323436767e-05
28200.0,2.11002e-05,0.000387385,2.82,0.0004084852,1.0698835586315817e-05
28500.0,1.43668e-05,0.000345378,2.85,0.0003597448,9.42225194017327e-06
28800.0,7.26673e-06,0.000125735,2.88,0.00013300173,3.483513336506606e-06
29100.0,1.83335e-06,4.12978e-05,2.91,4.313115e-05,1.1296690369656613e-06
29400.0,0.0,0.0,2.94,0.0,0.0
29700.0,0.0,0.0,2.97,0.0,0.0
30000.0,0.0,0.0,3.0,0.0,0.0
