====== Cu (10) into Layer 1                     =======
        SRIM-2008.04
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    = Cu   Energy = 12400 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     3.E+04 A ;
  Layer # 1- Density = 8.453E22 atoms/cm3 = 8.92 g/cm3
  Layer # 1- Cu = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =99999.00
 Total Target Vacancies     = 17451 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
300010.E-03  1770.66E-05  2440.12E-04  
600010.E-03  1877.65E-05  2501.77E-04  
900010.E-03  1911.86E-05  2593.27E-04  
120001.E-02  1945.44E-05  2635.96E-04  
150001.E-02  1986.04E-05  2728.10E-04  
180001.E-02  2022.14E-05  2818.52E-04  
210001.E-02  2057.76E-05  2921.50E-04  
240001.E-02  2105.24E-05  2956.98E-04  
270001.E-02  2149.78E-05  3090.34E-04  
300001.E-02  2199.94E-05  3133.60E-04  
330001.E-02  2245.25E-05  3343.39E-04  
360001.E-02  2295.28E-05  3377.13E-04  
390001.E-02  2349.07E-05  3521.49E-04  
420001.E-02  2404.82E-05  3591.31E-04  
450001.E-02  2459.09E-05  3764.82E-04  
480001.E-02  2517.14E-05  3825.66E-04  
510001.E-02  2579.07E-05  4008.38E-04  
540001.E-02  2641.63E-05  4117.83E-04  
570001.E-02  2711.04E-05  4218.75E-04  
600001.E-02  2776.09E-05  4337.36E-04  
630001.E-02  2849.12E-05  4548.51E-04  
660001.E-02  2926.83E-05  4802.55E-04  
690001.E-02  3001.87E-05  4988.40E-04  
720001.E-02  3084.26E-05  4974.90E-04  
750001.E-02  3179.81E-05  5288.95E-04  
780001.E-02  3267.15E-05  5432.24E-04  
810001.E-02  3368.75E-05  5867.46E-04  
840001.E-02  3473.33E-05  5959.79E-04  
870001.E-02  3578.98E-05  6276.47E-04  
900001.E-02  3693.21E-05  6521.22E-04  
930001.E-02  3781.15E-05  6766.54E-04  
960001.E-02  3913.97E-05  6932.38E-04  
990001.E-02  4020.55E-05  7386.44E-04  
102000.E-01  4150.16E-05  7722.52E-04  
105000.E-01  4272.71E-05  8100.84E-04  
108000.E-01  4387.89E-05  8376.30E-04  
111000.E-01  4535.46E-05  8798.99E-04  
114000.E-01  4636.63E-05  9160.12E-04  
117000.E-01  4753.81E-05  9296.95E-04  
120000.E-01  4853.96E-05  9930.28E-04  
123000.E-01  4953.77E-05  1009.29E-03  
126000.E-01  5021.42E-05  1045.91E-03  
129000.E-01  5075.94E-05  1074.21E-03  
132000.E-01  5110.99E-05  1120.72E-03  
135000.E-01  5180.00E-05  1146.35E-03  
138000.E-01  5191.26E-05  1173.84E-03  
141000.E-01  5217.57E-05  1212.48E-03  
144000.E-01  5194.61E-05  1225.19E-03  
147000.E-01  5197.89E-05  1253.46E-03  
150000.E-01  5137.53E-05  1249.49E-03  
153000.E-01  5073.48E-05  1248.77E-03  
156000.E-01  5011.24E-05  1248.87E-03  
159000.E-01  4942.77E-05  1242.20E-03  
162000.E-01  4883.50E-05  1262.14E-03  
165000.E-01  4799.05E-05  1237.45E-03  
168000.E-01  4685.58E-05  1230.22E-03  
171000.E-01  4574.59E-05  1193.23E-03  
174000.E-01  4488.49E-05  1180.20E-03  
177000.E-01  4345.44E-05  1127.39E-03  
180000.E-01  4191.84E-05  1098.63E-03  
183000.E-01  4056.77E-05  1067.30E-03  
186000.E-01  3875.06E-05  1031.78E-03  
189000.E-01  3701.80E-05  9659.97E-04  
192000.E-01  3524.37E-05  9303.21E-04  
195000.E-01  3349.74E-05  8756.52E-04  
198000.E-01  3089.58E-05  8105.55E-04  
201000.E-01  2885.04E-05  7608.42E-04  
204000.E-01  2662.01E-05  6877.30E-04  
207000.E-01  2451.03E-05  6365.36E-04  
210000.E-01  2205.92E-05  5652.91E-04  
213000.E-01  1999.42E-05  5119.09E-04  
216000.E-01  1794.27E-05  4636.04E-04  
219000.E-01  1586.28E-05  4051.65E-04  
222000.E-01  1405.01E-05  3535.80E-04  
225000.E-01  1236.31E-05  3069.54E-04  
228000.E-01  1060.48E-05  2650.04E-04  
231000.E-01  8997.97E-06  2193.14E-04  
234000.E-01  7462.43E-06  1813.63E-04  
237000.E-01  6033.90E-06  1479.08E-04  
240000.E-01  4909.70E-06  1162.47E-04  
243000.E-01  3917.39E-06  9393.16E-05  
246000.E-01  3058.97E-06  7406.20E-05  
249000.E-01  2330.57E-06  5359.44E-05  
252000.E-01  1796.71E-06  4112.21E-05  
255000.E-01  1352.93E-06  3166.19E-05  
258000.E-01  9763.81E-07  2196.90E-05  
261000.E-01  6912.51E-07  1523.46E-05  
264000.E-01  4787.37E-07  1064.22E-05  
267000.E-01  3406.06E-07  7287.44E-06  
270000.E-01  2000.74E-07  4182.80E-06  
273000.E-01  1480.33E-07  3369.39E-06  
276000.E-01  8753.64E-08  1747.71E-06  
279000.E-01  4310.06E-08  9682.15E-07  
282000.E-01  2110.02E-08  3873.85E-07  
285000.E-01  1436.68E-08  3453.78E-07  
288000.E-01  7266.73E-09  1257.35E-07  
291000.E-01  1833.35E-09  4129.78E-08  
294000.E-01  0000.00E+00  0000.00E+00  
297000.E-01  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  

 To convert to Energy Lo- multiply by Average Binding Energy =  3  eV/Vacancy
